city_town,Amount,house_district
abington,2682.6499999999996,['7th Plymouth']
acton,5196.62,"['14th Middlesex', '37th Middlesex']"
acushnet,525.0,['11th Bristol']
agawam,1478.79,['3rd Hampden']
amesbury,3750.0,['1st Essex']
amherst,5284.01,['3rd Hampshire']
andover,17800.690000000002,"['17th Essex', '18th Essex']"
arlington,11449.0,"['23rd Middlesex', '24th Middlesex']"
ashburnham,600.0,['2nd Worcester']
ashland,2991.13,['7th Middlesex']
athol,800.0,['2nd Franklin']
attleboro,900.0,"['2nd Bristol', '14th Bristol']"
auburn,9542.68,['7th Worcester']
avon,1500.0,['6th Norfolk']
barnstable,2403.11,"['2nd Barnstable', '5th Barnstable']"
bedford,5463.0,['21st Middlesex']
belchertown,1985.6,"['2nd Franklin', '7th Hampden']"
bellingham,597.72,['8th Worcester']
belmont,3689.2,['24th Middlesex']
bernardston,551.05,['2nd Berkshire']
beverly,6789.0,['6th Essex']
billerica,2811.0,['22nd Middlesex']
bolton,1850.0,['3rd Middlesex']
boston,243773.80999999994,"['1st Suffolk', '2nd Suffolk', '3rd Suffolk', '4th Suffolk', '5th Suffolk', '6th Suffolk', '7th Suffolk', '8th Suffolk', '9th Suffolk', '10th Suffolk', '11th Suffolk', '12th Suffolk', '13th Suffolk', '14th Suffolk', '15th Suffolk', '17th Suffolk', '18th Suffolk']"
bourne,2075.0,"['3rd Barnstable', '5th Barnstable']"
boxborough,750.0,['37th Middlesex']
boxford,1500.0,"['2nd Essex', '18th Essex']"
boylston,750.0,['12th Worcester']
braintree,14480.72,['5th Norfolk']
brewster,7245.11,"['1st Barnstable', '4th Barnstable']"
bridgewater,5174.21,['8th Plymouth']
brockton,19254.83,"['9th Plymouth', '10th Plymouth', '11th Plymouth']"
brookline,10807.77,"['15th Norfolk', '10th Suffolk', '15th Suffolk', '18th Suffolk']"
burlington,2049.0,['21st Middlesex']
cambridge,38691.26,"['24th Middlesex', '25th Middlesex', '26th Middlesex', '29th Middlesex', '8th Suffolk']"
canton,11098.27,['6th Norfolk']
carlisle,2300.0,['14th Middlesex']
charlton,1450.0,['7th Worcester']
chelmsford,3235.05,"['1st Middlesex', '14th Middlesex', '16th Middlesex', '17th Middlesex']"
chelsea,4312.5,"['2nd Suffolk', '16th Suffolk']"
chicopee,5250.0,"['6th Hampden', '7th Hampden', '8th Hampden', '9th Hampden']"
cohasset,7050.0,['3rd Plymouth']
concord,3613.8900000000003,['14th Middlesex']
danvers,8300.0,['13th Essex']
dartmouth,6075.0,['9th Bristol']
dedham,3900.0,['11th Norfolk']
deerfield,510.0,['1st Franklin']
dighton,4800.0,['5th Bristol']
douglas,600.0,['18th Worcester']
dover,9150.0,['13th Norfolk']
dracut,1376.0,['36th Middlesex']
dudley,1880.81,['6th Worcester']
duxbury,2250.0,"['6th Plymouth', '12th Plymouth']"
