city_town,Amount,house_district
abington,16556.92,['7th Plymouth']
acton,9297.56,"['14th Middlesex', '37th Middlesex']"
acushnet,4525.0,['11th Bristol']
amesbury,4950.0,['1st Essex']
amherst,52815.25,['3rd Hampshire']
andover,82097.91,"['17th Essex', '18th Essex']"
arlington,44213.44,"['23rd Middlesex', '24th Middlesex']"
ashburnham,3600.0,['2nd Worcester']
ashland,7891.13,['7th Middlesex']
athol,2000.0,['2nd Franklin']
attleboro,4883.0,"['2nd Bristol', '14th Bristol']"
auburn,2700.0,['7th Worcester']
avon,15000.0,['6th Norfolk']
barnstable,8000.0,"['2nd Barnstable', '5th Barnstable']"
barre,1000.0,['5th Worcester']
bedford,8750.0,['21st Middlesex']
belchertown,3985.6,"['2nd Franklin', '7th Hampden']"
bellingham,3597.7200000000003,['8th Worcester']
belmont,89939.2,['24th Middlesex']
berkley,5000.0,['12th Bristol']
berlin,5000.0,['12th Worcester']
bernardston,551.05,['2nd Berkshire']
beverly,62087.54,['6th Essex']
billerica,3700.0,['22nd Middlesex']
boston,2865803.6400000006,"['1st Suffolk', '2nd Suffolk', '3rd Suffolk', '4th Suffolk', '5th Suffolk', '6th Suffolk', '7th Suffolk', '8th Suffolk', '9th Suffolk', '10th Suffolk', '11th Suffolk', '12th Suffolk', '13th Suffolk', '14th Suffolk', '15th Suffolk', '17th Suffolk', '18th Suffolk']"
boxborough,2000.0,['37th Middlesex']
boxford,21500.0,"['2nd Essex', '18th Essex']"
boylston,6000.0,['12th Worcester']
braintree,72174.85,['5th Norfolk']
brewster,28400.0,"['1st Barnstable', '4th Barnstable']"
bridgewater,9500.0,['8th Plymouth']
brimfield,2000.0,['1st Hampden']
brockton,187435.46000000002,"['9th Plymouth', '10th Plymouth', '11th Plymouth']"
brookline,188311.61,"['15th Norfolk', '10th Suffolk', '15th Suffolk', '18th Suffolk']"
burlington,5000.0,['21st Middlesex']
cambridge,245234.86000000002,"['24th Middlesex', '25th Middlesex', '26th Middlesex', '29th Middlesex', '8th Suffolk']"
canton,44923.880000000005,['6th Norfolk']
carlisle,9000.0,['14th Middlesex']
carver,4000.0,['2nd Plymouth']
charlton,2750.0,['7th Worcester']
chatham,2000.0,['4th Barnstable']
chelmsford,9000.0,"['1st Middlesex', '14th Middlesex', '16th Middlesex', '17th Middlesex']"
chelsea,5647.58,"['2nd Suffolk', '16th Suffolk']"
