,District,Amount
0,7th Plymouth,21556.92
1,14th Middlesex,95898.78
2,37th Middlesex,14753.78
3,11th Bristol,20590.19
4,1st Essex,26065.8
5,3rd Hampshire,53315.25
6,17th Essex,47596.92
7,18th Essex,59663.78
8,23rd Middlesex,41173.49
9,24th Middlesex,161092.89
10,2nd Worcester,21896.95
11,7th Middlesex,28305.25
12,2nd Franklin,5800.22
13,2nd Bristol,2441.5
14,14th Bristol,6441.5
15,7th Worcester,13075.0
16,6th Norfolk,68034.14
17,2nd Barnstable,4000.0
18,5th Barnstable,35644.18
19,5th Worcester,3500.0
20,21st Middlesex,104444.28
21,7th Hampden,52721.79
22,8th Worcester,44897.72
23,12th Bristol,12279.61
24,12th Worcester,19220.37
25,2nd Berkshire,26923.86
26,6th Essex,62087.54
27,22nd Middlesex,3700.0
28,1st Suffolk,168576.68
29,2nd Suffolk,171400.47
30,3rd Suffolk,168576.68
31,4th Suffolk,168576.68
32,5th Suffolk,168576.68
33,6th Suffolk,168576.68
34,7th Suffolk,168576.68
35,8th Suffolk,217623.66
36,9th Suffolk,168576.68
37,10th Suffolk,215654.59
38,11th Suffolk,168576.68
39,12th Suffolk,343666.4
40,13th Suffolk,218902.21
41,14th Suffolk,168576.68
42,15th Suffolk,215654.59
43,17th Suffolk,168576.68
44,18th Suffolk,215654.59
45,2nd Essex,71422.15
46,5th Norfolk,78090.28
47,1st Barnstable,14200.0
48,4th Barnstable,48800.0
49,8th Plymouth,16850.0
50,1st Hampden,26000.0
51,9th Plymouth,62478.49
52,10th Plymouth,76478.49
53,11th Plymouth,68978.49
54,15th Norfolk,47077.9
55,25th Middlesex,49046.97
56,26th Middlesex,67766.23
57,29th Middlesex,69917.12
58,2nd Plymouth,5666.67
59,1st Middlesex,36750.0
60,16th Middlesex,29200.57
61,17th Middlesex,29200.57
62,16th Suffolk,29348.79
63,1st Berkshire,11400.0
64,6th Hampden,34064.75
65,8th Hampden,2625.0
66,9th Hampden,15874.75
67,"Barnstable, Dukes and Nantucket",10500.0
68,3rd Plymouth,139706.0
69,1st Franklin,4000.0
70,13th Essex,63925.0
71,9th Bristol,30165.19
72,11th Norfolk,148288.45
73,18th Worcester,71222.1
74,13th Norfolk,142600.0
75,36th Middlesex,11000.0
76,6th Worcester,19150.0
77,6th Plymouth,34500.0
78,12th Plymouth,58567.85
79,2nd Hampden,170001.9
80,12th Hampden,56257.07
81,2nd Hampshire,26000.0
82,3rd Bristol,11112.94
83,5th Essex,44819.99
84,28th Middlesex,15050.0
85,10th Bristol,52070.65
86,6th Bristol,39596.39
87,7th Bristol,39596.39
88,8th Bristol,65611.58
89,3rd Barnstable,8500.0
90,3rd Worcester,7000.0
91,1st Bristol,10000.0
92,6th Middlesex,20414.12
93,13th Middlesex,101895.17
94,10th Norfolk,18882.0
95,9th Worcester,33000.0
96,3rd Hampden,15400.0
97,4th Berkshire,2000.0
98,5th Plymouth,78406.0
99,3rd Essex,3397.5
100,14th Essex,17810.28
101,15th Essex,6812.13
102,3rd Norfolk,78138.0
103,1st Worcester,34425.0
104,8th Middlesex,640137.92
105,5th Hampden,148815.0
106,10th Worcester,19300.0
107,3rd Middlesex,13000.0
108,4th Essex,45024.65
109,16th Essex,3133.33
110,17th Worcester,47718.7
111,4th Worcester,19700.0
112,15th Middlesex,62912.38
113,9th Middlesex,71227.49
114,18th Middlesex,26950.57
115,8th Essex,133941.18
116,9th Essex,31641.18
117,10th Essex,12741.18
118,11th Essex,18741.18
119,20th Middlesex,153860.0
120,32nd Middlesex,55325.47
121,33rd Middlesex,27525.47
122,35th Middlesex,46592.24
123,8th Norfolk,32510.26
124,4th Middlesex,27541.05
125,4th Plymouth,89226.0
126,9th Norfolk,37500.0
127,34th Middlesex,37786.02
128,5th Middlesex,67521.02
129,7th Norfolk,177423.05
130,13th Bristol,16065.19
131,10th Middlesex,246598.46
132,11th Middlesex,194198.32
133,12th Middlesex,194198.32
134,1st Hampshire,8050.0
135,4th Bristol,15752.5
136,12th Norfolk,439975.03
137,12th Essex,28000.0
138,3rd Berkshire,16372.81
139,1st Plymouth,28101.18
140,1st Norfolk,52658.86
141,2nd Norfolk,50325.52
142,30th Middlesex,30722.38
143,19th Suffolk,77925.0
144,7th Essex,25608.95
145,11th Worcester,147357.69
146,5th Bristol,19525.44
147,27th Middlesex,18719.26
148,10th Hampden,13249.75
149,11th Hampden,13249.75
150,31st Middlesex,232543.03
151,19th Middlesex,103569.28
152,14th Norfolk,282266.0
153,14th Worcester,47878.7
154,4th Hampden,17950.0
155,4th Norfolk,24230.38
156,13th Worcester,43718.7
157,15th Worcester,43718.7
158,16th Worcester,43718.7
