city_town,Amount,senate_district
abington,10000.0,['Norfolk & Plymouth']
acton,34000.0,['Middlesex & Worcester']
adams,15300.1,"['Berkshire, Hampshire, Franklin & Hampden']"
agawam,52973.71,['Second Hampden & Hampshire']
amesbury,2000.0,['First Essex']
amherst,6200.0,"['Hampshire, Franklin & Worcester']"
andover,214248.5,['Second Essex & Middlesex']
arlington,20693.559999999998,['Fourth Middlesex']
ashburnham,9192.68,"['Worcester, Hampden, Hampshire & Middlesex']"
ashland,4000.0,['Second Middlesex & Norfolk']
athol,22490.0,"['Worcester, Hampden, Hampshire & Middlesex']"
attleboro,27500.36,"['Bristol & Norfolk', 'Norfolk, Bristol & Middlesex']"
auburn,90425.0,['Second Worcester']
avon,158152.0,"['Norfolk, Bristol & Plymouth']"
ayer,10468.01,['Middlesex & Worcester']
barnstable,17900.870000000003,['Cape & Isl&s']
barre,1200.0,"['Worcester, Hampden, Hampshire & Middlesex']"
becket,10000.0,"['Berkshire, Hampshire, Franklin & Hampden']"
bedford,23000.0,['Third Middlesex']
belmont,114901.99,['Second Suffolk & Middlesex']
beverly,73520.93000000001,['Second Essex']
billerica,12572.0,['Fourth Middlesex']
blandford,1000.0,"['Berkshire, Hampshire, Franklin & Hampden']"
bolton,15300.0,['Worcester & Middlesex']
boston,12391098.290000003,"['Middlesex & Suffolk', 'Norfolk & Suffolk', 'First Suffolk', 'Second Suffolk', 'First Suffolk & Middlesex', 'Second Suffolk & Middlesex']"
boxborough,3000.0,['Middlesex & Worcester']
boxford,2000.0,['First Essex & Middlesex']
boylston,3500.0,['First Worcester']
braintree,90698.47,"['Norfolk, Bristol & Plymouth', 'Norfolk & Plymouth']"
brewster,4744.0,['Cape & Isl&s']
bridgewater,23630.28,['First Plymouth & Bristol']
brockton,375423.0,['Second Plymouth & Bristol']
brookline,270665.0,['First Middlesex & Norfolk']
burlington,65000.0,['Fourth Middlesex']
cambridge,450162.35,"['Second Middlesex', 'Middlesex & Suffolk', 'First Suffolk & Middlesex']"
canton,199049.0,"['Norfolk, Bristol & Plymouth']"
carlisle,5500.0,['Third Middlesex']
carver,1000.0,['First Plymouth & Bristol']
charlemont,2000.0,"['Berkshire, Hampshire, Franklin & Hampden']"
charlton,4000.0,"['Worcester, Hampden, Hampshire & Middlesex']"
chatham,4000.0,['Cape & Isl&s']
chelmsford,96597.92,['Third Middlesex']
chelsea,21495.43,['Middlesex & Suffolk']
chicopee,40820.0,"['Hampden', 'First Hampden & Hampshire', 'Second Hampden & Hampshire']"
cohasset,33964.0,['Plymouth & Norfolk']
concord,144600.0,['Third Middlesex']
conway,1000.0,"['Berkshire, Hampshire, Franklin & Hampden']"
dalton,28310.0,"['Berkshire, Hampshire, Franklin & Hampden']"
danvers,117883.8,['Second Essex']
dartmouth,41800.0,['Second Bristol & Plymouth']
dedham,97059.0,['Norfolk & Suffolk']
dennis,24320.0,['Cape & Isl&s']
douglas,1000.0,['Worcester & Norfolk']
dover,68885.0,['Norfolk & Suffolk']
dracut,5200.0,['Second Essex & Middlesex']
dudley,2000.0,['Worcester & Norfolk']
dunstable,4800.0,['First Middlesex']
duxbury,35128.69,['Plymouth & Norfolk']
east bridgewater,2000.0,"['Norfolk, Bristol & Plymouth', 'Second Plymouth & Bristol']"
east longmeadow,108500.0,['First Hampden & Hampshire']
eastham,550.0,['Cape & Isl&s']
easthampton,10530.0,['Second Hampden & Hampshire']
easton,13240.0,"['Norfolk, Bristol & Plymouth', 'Second Plymouth & Bristol']"
edgartown,9870.0,['Cape & Isl&s']
essex,12500.0,['First Essex & Middlesex']
everett,64201.07,['Middlesex & Suffolk']
fairhaven,5023.8,['Second Bristol & Plymouth']
fall river,140704.09999999998,['First Bristol & Plymouth']
falmouth,13745.27,['Plymouth & Barnstable']
fitchburg,1000.0,['Worcester & Middlesex']
foxborough,36189.88,['Bristol & Norfolk']
framingham,32000.0,['Second Middlesex & Norfolk']
franklin,11972.9,"['Second Middlesex & Norfolk', 'Norfolk, Bristol & Middlesex']"
gardner,6840.38,['Worcester & Middlesex']
georgetown,3462.66,['First Essex & Middlesex']
gloucester,27752.0,['First Essex & Middlesex']
grafton,2500.0,['Second Worcester']
granby,4500.0,['First Hampden & Hampshire']
great barrington,104491.9,"['Berkshire, Hampshire, Franklin & Hampden']"
greenfield,27489.55,"['Hampshire, Franklin & Worcester']"
groton,4500.0,['First Middlesex']
hadley,2000.0,"['Hampshire, Franklin & Worcester']"
halifax,2000.0,['Second Plymouth & Bristol']
hamilton,6000.0,['First Essex & Middlesex']
hanover,11162.75,['Second Plymouth & Bristol']
hanson,3500.0,['Second Plymouth & Bristol']
harvard,19500.0,['Middlesex & Worcester']
harwich,286100.76,['Cape & Isl&s']
haverhill,1600.0,['First Essex']
hingham,69700.0,['Plymouth & Norfolk']
holden,82030.0,['First Worcester']
holliston,54687.12,['Second Middlesex & Norfolk']
holyoke,10845.33,['Second Hampden & Hampshire']
hopedale,1445.0,['Worcester & Norfolk']
hopkinton,64999.25,['Second Middlesex & Norfolk']
hudson,10000.0,['Middlesex & Worcester']
hull,1302.85,['Plymouth & Norfolk']
ipswich,5000.0,['First Essex & Middlesex']
kingston,85760.01000000001,['Plymouth & Barnstable']
lakeville,3500.0,['First Bristol & Plymouth']
lanesborough,738.0,"['Berkshire, Hampshire, Franklin & Hampden']"
lawrence,9893.380000000001,['Second Essex & Middlesex']
lee,1050.0,"['Berkshire, Hampshire, Franklin & Hampden']"
leicester,6500.0,['Second Worcester']
lenox,1000.0,"['Berkshire, Hampshire, Franklin & Hampden']"
leominster,12000.0,['Worcester & Middlesex']
lexington,148750.0,"['Third Middlesex', 'Fourth Middlesex']"
lincoln,29500.0,['Third Middlesex']
littleton,1500.0,['Middlesex & Worcester']
longmeadow,64331.11,['First Hampden & Hampshire']
lowell,74648.48,['First Middlesex']
ludlow,11314.02,['First Hampden & Hampshire']
lunenburg,4719.0,['Worcester & Middlesex']
lynn,17709.46,['Third Essex']
lynnfield,17000.0,['Third Essex']
malden,123219.89,['Fifth Middlesex']
mansfield,34156.54,['Bristol & Norfolk']
marblehead,28725.0,['Third Essex']
marion,12239.98,['First Plymouth & Bristol']
marlborough,34185.31,['Middlesex & Worcester']
marshfield,81735.34,['Plymouth & Norfolk']
mashpee,2000.0,['Cape & Isl&s']
mattapoisett,10000.0,['Second Bristol & Plymouth']
maynard,5000.0,['Middlesex & Worcester']
medfield,6000.0,['Bristol & Norfolk']
medford,45071.22,['Second Middlesex']
medway,25974.800000000003,['Second Middlesex & Norfolk']
melrose,57700.0,['Fifth Middlesex']
mendon,1000.0,['Worcester & Norfolk']
methuen,9833.3,['First Essex']
middleborough,600.0,['First Plymouth & Bristol']
middlefield,11648.71,"['Berkshire, Hampshire, Franklin & Hampden']"
middleton,2500.0,['First Essex & Middlesex']
milford,12000.0,['Worcester & Norfolk']
millbury,7589.0,['Second Worcester']
milton,261127.44999999998,"['Norfolk, Bristol & Plymouth']"
monson,5000.0,"['Worcester, Hampden, Hampshire & Middlesex']"
nahant,1500.0,['Third Essex']
nantucket,2000.0,['Cape & Isl&s']
natick,47192.35,"['Second Middlesex & Norfolk', 'Norfolk, Bristol & Middlesex']"
needham,114787.65999999999,"['Norfolk, Bristol & Middlesex', 'Norfolk & Suffolk']"
new bedford,57531.78,['Second Bristol & Plymouth']
newbury,750.0,['First Essex & Middlesex']
newburyport,222044.4,['First Essex']
newton,520283.33,['First Middlesex & Norfolk']
norfolk,6096.5,"['Norfolk, Bristol & Middlesex']"
north adams,37084.5,"['Berkshire, Hampshire, Franklin & Hampden']"
north andover,11198.5,"['First Essex', 'First Essex & Middlesex']"
north reading,15500.0,['First Essex & Middlesex']
northampton,13547.18,"['Hampshire, Franklin & Worcester']"
northborough,10900.0,"['Middlesex & Worcester', 'First Worcester']"
northbridge,6460.08,"['Second Worcester', 'Worcester & Norfolk']"
norton,2000.0,['Bristol & Norfolk']
norwell,3500.0,['Plymouth & Norfolk']
norwood,549416.12,['Norfolk & Suffolk']
oak bluffs,1050.0,['Cape & Isl&s']
orange,14667.81,"['Hampshire, Franklin & Worcester']"
orleans,5000.0,['Cape & Isl&s']
palmer,1092.0,"['Worcester, Hampden, Hampshire & Middlesex']"
paxton,23907.48,"['Worcester, Hampden, Hampshire & Middlesex']"
peabody,42491.939999999995,['Second Essex']
pembroke,2000.0,['Plymouth & Barnstable']
pittsfield,94191.41,"['Berkshire, Hampshire, Franklin & Hampden']"
plainville,17000.0,"['Norfolk, Bristol & Middlesex']"
plymouth,75220.0,['Plymouth & Barnstable']
provincetown,4520.0,['Cape & Isl&s']
quincy,640848.2400000001,['Norfolk & Plymouth']
randolph,81368.70999999999,"['Norfolk, Bristol & Plymouth']"
raynham,600.0,['First Plymouth & Bristol']
reading,7400.0,['Fifth Middlesex']
revere,650.0,['First Suffolk & Middlesex']
richmond,1100.0,"['Berkshire, Hampshire, Franklin & Hampden']"
rochester,1000.0,['First Bristol & Plymouth']
rockland,24013.8,['Norfolk & Plymouth']
rockport,6525.0,['First Essex & Middlesex']
rowley,2500.0,['First Essex & Middlesex']
russell,1000.0,['Second Hampden & Hampshire']
salem,84662.78,['Second Essex']
salisbury,6000.0,['First Essex']
sandwich,21134.0,['Plymouth & Barnstable']
saugus,55417.22,['Third Essex']
scituate,31182.07,['Plymouth & Norfolk']
seekonk,20967.0,['Bristol & Norfolk']
sharon,441260.86,"['Bristol & Norfolk', 'Norfolk, Bristol & Plymouth']"
sherborn,35100.0,"['Norfolk, Bristol & Middlesex']"
shirley,1116.0,['Middlesex & Worcester']
shrewsbury,491590.2599999999,['Second Worcester']
somerset,13300.0,['First Bristol & Plymouth']
somerville,283781.49,['Second Middlesex']
south hadley,9000.0,"['Hampshire, Franklin & Worcester']"
southborough,14900.0,['Middlesex & Worcester']
southbridge,6348.47,['Worcester & Norfolk']
southwick,2240.0,['Second Hampden & Hampshire']
spencer,2773.0,"['Worcester, Hampden, Hampshire & Middlesex']"
springfield,156965.6,"['Hampden', 'First Hampden & Hampshire']"
sterling,7000.0,['Worcester & Middlesex']
stockbridge,13000.0,"['Berkshire, Hampshire, Franklin & Hampden']"
