,District,Amount
0,Norfolk & Plymouth,9526144.07
1,Middlesex & Worcester,643287.22
2,Second Bristol & Plymouth,73553.24
3,Second Hampden & Hampshire,121032.85
4,First Essex,154931.95
5,"Hampshire, Franklin & Worcester",91801.89
6,Second Essex & Middlesex,309214.12
7,Fourth Middlesex,510191.35
8,"Worcester, Hampden, Hampshire & Middlesex",90010.73
9,"Berkshire, Hampshire, Franklin & Hampden",100300.41
10,Second Middlesex & Norfolk,735645.67
11,Bristol & Norfolk,162883.14
12,"Norfolk, Bristol & Middlesex",5044779.25
13,Second Worcester,448963.22
14,"Norfolk, Bristol & Plymouth",955693.21
15,Cape & Islands,266871.73
16,Third Middlesex,1071793.26
17,First Hampden & Hampshire,319948.95
18,Worcester & Norfolk,160084.09
19,Second Suffolk & Middlesex,2762713.94
20,First Plymouth & Bristol,210224.19
21,Second Essex,325098.07
22,Worcester & Middlesex,81721.97
23,Middlesex & Suffolk,3268169.35
24,Norfolk & Suffolk,3771876.52
25,First Suffolk,2527913.94
26,Second Suffolk,2527913.94
27,First Suffolk & Middlesex,3376829.01
28,Plymouth & Barnstable,134496.42
29,First Essex & Middlesex,407428.78
30,First Worcester,178127.21
31,Second Plymouth & Bristol,80793.87
32,First Middlesex & Norfolk,1670615.63
33,Second Middlesex,897669.19
34,Hampden,114377.62
35,Plymouth & Norfolk,552078.81
36,First Middlesex,97377.22
37,First Bristol & Plymouth,176936.81
38,Third Essex,1529631.51
39,Fifth Middlesex,807034.71
