year,district,name,party,vote_count,vote_percent
2017,1st Berkshire,"John P. Barrett, III",Democratic,"4,976",74.3
2017,3rd Essex,Andres X. Vargas,Democratic,"3,891",53.2
2016,1st Barnstable,Timothy R. Whelan,Republican,"19,640",99.1
2016,2nd Barnstable,"William L. Crocker, Jr.",Republican,"11,879",54.7
2016,3rd Barnstable,David T. Vieira,Republican,"12,739",52.9
2016,4th Barnstable,Sarah K. Peake,Democratic,"22,948",99.4
2016,5th Barnstable,Randy Hunt,Republican,"18,096",99.2
2016,"Barnstable, Dukes and Nantucket",Dylan A. Fernandes,Democratic,"13,030",51.7
2016,1st Berkshire,Gailanne M. Cariddi,Democratic,"15,675",99.4
2016,2nd Berkshire,Paul W. Mark,Democratic,"17,631",99.6
2016,3rd Berkshire,Tricia Farley-Bouvier,Democratic,"11,827",66.3
2016,4th Berkshire,"William ""Smitty"" Pignatelli",Democratic,"19,356",99.7
2016,1st Bristol,Fred Jay Barrows,Republican,"12,561",60.0
2016,2nd Bristol,Paul R. Heroux,Democratic,"15,301",99.6
2016,3rd Bristol,Shaunna L. O'Connell,Republican,"10,520",58.6
2016,4th Bristol,Steven S. Howitt,Republican,"13,253",62.2
2016,5th Bristol,Patricia A. Haddad,Democratic,"16,907",99.1
2016,6th Bristol,Carole A. Fiola,Democratic,"12,457",99.3
2016,7th Bristol,Alan Silvia,Democratic,"9,594",99.6
2016,8th Bristol,"Paul Schmid, III",Democratic,"14,788",99.4
2016,9th Bristol,Christopher M. Markey,Democratic,"15,010",99.4
2016,10th Bristol,William M. Straus,Democratic,"16,429",99.0
2016,11th Bristol,Robert M. Koczera,Democratic,"11,907",99.1
2016,12th Bristol,Keiko M. Orrall,Republican,"15,855",98.8
2016,13th Bristol,Antonio d. F. Cabral,Democratic,"12,021",99.1
2016,14th Bristol,Elizabeth A. Poirier,Republican,"13,865",70.4
2016,1st Essex,James M. Kelcourse,Republican,"13,272",54.0
2016,2nd Essex,Leonard Mirra,Republican,"19,363",99.0
2016,3rd Essex,Brian S. Dempsey,Democratic,"15,136",98.7
2016,4th Essex,Bradford R. Hill,Republican,"21,813",99.6
2016,5th Essex,Ann-Margaret Ferrante,Democratic,"18,239",98.5
2016,6th Essex,Jerald A. Parisella,Democratic,"15,012",74.8
2016,7th Essex,Paul F. Tucker,Democratic,"18,208",99.6
2016,8th Essex,Lori A. Ehrlich,Democratic,"18,365",99.3
2016,9th Essex,Donald H. Wong,Republican,"12,816",54.5
2016,10th Essex,Daniel H. Cahill,Democratic,"11,556",98.4
2016,10th Essex,Daniel H. Cahill,Democratic,320,96.7
2016,11th Essex,Brendan P. Crighton,Democratic,"11,223",98.2
2016,12th Essex,Thomas P. Walsh,Democratic,"7,138",57.4
2016,12th Essex,Thomas P. Walsh,Democratic,"16,480",98.6
2016,13th Essex,Theodore C. Speliotis,Democratic,"18,163",98.1
2016,14th Essex,Diana DiZoglio,Democratic,"15,927",99.2
2016,15th Essex,Linda Dean Campbell,Democratic,"12,904",63.3
2016,16th Essex,Juana B. Matias,Democratic,"11,205",98.1
2016,17th Essex,Frank A. Moran,Democratic,"12,033",98.7
2016,18th Essex,"James J. Lyons, Jr.",Republican,"14,218",59.6
2016,1st Franklin,Stephen Kulik,Democratic,"20,798",99.8
2016,2nd Franklin,Susannah Whipps M. Lee,Republican,"15,490",98.7
2016,1st Hampden,Todd M. Smola,Republican,"17,633",99.3
2016,2nd Hampden,Brian M. Ashe,Democratic,"18,058",98.7
2016,3rd Hampden,Nicholas A. Boldyga,Republican,"12,136",59.9
2016,4th Hampden,John C. Velis,Democratic,"15,399",99.4
2016,5th Hampden,Aaron Vega,Democratic,"13,687",99.7
2016,6th Hampden,Michael J. Finn,Democratic,"12,819",98.9
2016,7th Hampden,Thomas M. Petrolati,Democratic,"16,180",98.6
2016,8th Hampden,Joseph F. Wagner,Democratic,"14,479",98.1
2016,9th Hampden,Jose F. Tosado,Democratic,"12,020",80.3
2016,10th Hampden,Carlos Gonzalez,Democratic,"10,286",98.4
2016,11th Hampden,Bud L. Williams,Democratic,"11,634",97.5
2016,12th Hampden,"Angelo J. Puppolo, Jr.",Democratic,"16,368",99.0
2016,1st Hampshire,Peter V. Kocot,Democratic,"20,145",99.6
2016,2nd Hampshire,John W. Scibak,Democratic,"19,023",99.3
2016,3rd Hampshire,Solomon Israel Goldstein-Rose,Democratic,"14,601",98.7
2016,1st Middlesex,Sheila C. Harrington,Republican,"14,984",65.1
2016,2nd Middlesex,James Arciero,Democratic,"20,337",99.3
2016,3rd Middlesex,Kate Hogan,Democratic,"19,161",98.8
2016,4th Middlesex,Danielle W. Gregoire,Democratic,"11,531",59.6
2016,5th Middlesex,David Paul Linsky,Democratic,"19,566",99.1
2016,6th Middlesex,Chris Walsh,Democratic,"16,009",98.5
2016,7th Middlesex,Jack Patrick Lewis,Democratic,"9,286",61.8
2016,8th Middlesex,Carolyn C. Dykema,Democratic,"19,524",98.5
2016,9th Middlesex,Thomas M. Stanley,Democratic,"12,654",63.3
2016,10th Middlesex,"John J. Lawn, Jr.",Democratic,"12,665",98.5
2016,11th Middlesex,Kay S. Khan,Democratic,"17,153",98.7
2016,12th Middlesex,Ruth B. Balser,Democratic,"16,582",98.6
2016,13th Middlesex,Carmine Lawrence Gentile,Democratic,"17,561",98.7
2016,14th Middlesex,Cory Atkins,Democratic,"14,831",60.2
2016,15th Middlesex,Jay R. Kaufman,Democratic,"17,736",100.0
2016,16th Middlesex,"Thomas A. Golden, Jr.",Democratic,"13,962",98.4
2016,17th Middlesex,David M. Nangle,Democratic,"12,305",97.5
2016,18th Middlesex,Rady Mom,Democratic,"8,107",71.7
2016,19th Middlesex,James R. Miceli,Democratic,"19,349",98.7
2016,20th Middlesex,"Bradley H. Jones, Jr",Republican,"19,756",99.5
2016,21st Middlesex,Kenneth I. Gordon,Democratic,"13,476",58.5
2016,22nd Middlesex,Marc T. Lombardo,Republican,"12,583",58.9
2016,23rd Middlesex,Sean Garballey,Democratic,"20,991",99.2
2016,24th Middlesex,David M. Rogers,Democratic,"18,570",99.1
2016,25th Middlesex,Marjorie C. Decker,Democratic,"15,968",99.2
2016,26th Middlesex,Mike Connolly,Democratic,"15,872",98.4
2016,27th Middlesex,Denise Provost,Democratic,"18,409",87.0
2016,28th Middlesex,"Joseph W. Mcgonagle, Jr",Democratic,"10,811",98.5
2016,29th Middlesex,Jonathan Hecht,Democratic,"18,821",98.6
2016,30th Middlesex,James J. Dwyer,Democratic,"15,943",99.6
2016,31st Middlesex,Michael Seamus Day,Democratic,"14,528",58.8
2016,32nd Middlesex,Paul A. Brodeur,Democratic,"18,386",98.7
2016,33rd Middlesex,Steven Ultrino,Democratic,"11,435",98.5
2016,34th Middlesex,Christine P. Barber,Democratic,"16,334",98.6
2016,35th Middlesex,"Paul J. Donato, Sr.",Democratic,"15,306",98.5
2016,36th Middlesex,Colleen M. Garry,Democratic,"18,003",99.8
2016,37th Middlesex,Jennifer E. Benson,Democratic,"17,814",99.0
2016,1st Norfolk,Bruce J. Ayers,Democratic,"15,497",99.8
2016,2nd Norfolk,Tackey Chan,Democratic,"15,005",100.0
2016,3rd Norfolk,Ronald Mariano,Democratic,"15,810",99.2
2016,4th Norfolk,James Michael Murphy,Democratic,"17,771",98.7
2016,5th Norfolk,Mark J. Cusack,Democratic,"16,652",98.5
2016,6th Norfolk,William C. Galvin,Democratic,"17,215",99.6
2016,7th Norfolk,"William J. Driscoll, Jr",Democratic,"16,318",99.2
2016,8th Norfolk,Louis L. Kafka,Democratic,"18,169",99.2
2016,9th Norfolk,Shawn C. Dooley,Republican,"14,427",60.9
2016,10th Norfolk,Jeffrey N. Roy,Democratic,"18,581",98.2
2016,11th Norfolk,Paul McMurtry,Democratic,"18,918",99.2
2016,12th Norfolk,John H. Rogers,Democratic,"14,534",65.9
2016,13th Norfolk,Denise C. Garlick,Democratic,"20,144",98.7
2016,14th Norfolk,Alice Hanlon Peisch,Democratic,"17,759",99.4
2016,15th Norfolk,Frank Israel Smizik,Democratic,"16,079",99.5
2016,1st Plymouth,Mathew J. Muratore,Republican,"11,873",50.8
2016,2nd Plymouth,Susan Williams Gifford,Republican,"11,894",57.7
2016,3rd Plymouth,Joan Meschino,Democratic,"13,257",54.0
2016,4th Plymouth,James M. Cantwell,Democratic,"17,388",69.6
2016,5th Plymouth,David F. Decoste,Republican,"12,293",51.0
2016,6th Plymouth,Josh S. Cutler,Democratic,"15,290",64.0
2016,7th Plymouth,Geoff Diehl,Republican,"17,088",99.2
2016,8th Plymouth,Angelo L. D'Emilia,Republican,"14,963",98.4
2016,9th Plymouth,Gerard J. Cassidy,Democratic,"4,536",99.0
2016,9th Plymouth,Gerard J. Cassidy,Democratic,"10,346",85.6
2016,10th Plymouth,Michelle M. Dubois,Democratic,"13,945",99.2
2016,11th Plymouth,Claire D. Cronin,Democratic,"15,361",99.8
2016,12th Plymouth,"Thomas J. Calter, III",Democratic,"13,908",59.9
2016,1st Suffolk,Adrian C. Madaro,Democratic,"9,946",98.0
2016,2nd Suffolk,Daniel Joseph Ryan,Democratic,"12,755",99.1
2016,3rd Suffolk,Aaron M. Michlewitz,Democratic,"15,542",98.7
2016,4th Suffolk,Nick Collins,Democratic,"18,781",98.6
2016,5th Suffolk,Evandro C. Carvalho,Democratic,"10,855",83.9
2016,6th Suffolk,Russell E. Holmes,Democratic,"13,044",98.8
2016,7th Suffolk,Chynah Tyler,Democratic,"9,150",98.6
