city_town,Amount,senate_district
abington,2682.6499999999996,['Norfolk & Plymouth']
acton,5196.62,['Middlesex & Worcester']
acushnet,525.0,['Second Bristol & Plymouth']
agawam,1478.79,['Second Hampden & Hampshire']
amesbury,3750.0,['First Essex']
amherst,5284.01,"['Hampshire, Franklin & Worcester']"
andover,17800.690000000002,['Second Essex & Middlesex']
arlington,11449.0,['Fourth Middlesex']
ashburnham,600.0,"['Worcester, Hampden, Hampshire & Middlesex']"
ashland,2991.13,['Second Middlesex & Norfolk']
athol,800.0,"['Worcester, Hampden, Hampshire & Middlesex']"
attleboro,900.0,"['Bristol & Norfolk', 'Norfolk, Bristol & Middlesex']"
auburn,9542.68,['Second Worcester']
avon,1500.0,"['Norfolk, Bristol & Plymouth']"
barnstable,2403.11,['Cape & Isl&s']
bedford,5463.0,['Third Middlesex']
belchertown,1985.6,['First Hampden & Hampshire']
bellingham,597.72,['Worcester & Norfolk']
belmont,3689.2,['Second Suffolk & Middlesex']
bernardston,551.05,"['Hampshire, Franklin & Worcester']"
beverly,6789.0,['Second Essex']
billerica,2811.0,['Fourth Middlesex']
bolton,1850.0,['Worcester & Middlesex']
boston,243773.80999999994,"['Middlesex & Suffolk', 'Norfolk & Suffolk', 'First Suffolk', 'Second Suffolk', 'First Suffolk & Middlesex', 'Second Suffolk & Middlesex']"
bourne,2075.0,['Plymouth & Barnstable']
boxborough,750.0,['Middlesex & Worcester']
boxford,1500.0,['First Essex & Middlesex']
boylston,750.0,['First Worcester']
braintree,14480.72,"['Norfolk, Bristol & Plymouth', 'Norfolk & Plymouth']"
brewster,7245.11,['Cape & Isl&s']
bridgewater,5174.21,['First Plymouth & Bristol']
brockton,19254.83,['Second Plymouth & Bristol']
brookline,10807.77,['First Middlesex & Norfolk']
burlington,2049.0,['Fourth Middlesex']
cambridge,38691.26,"['Second Middlesex', 'Middlesex & Suffolk', 'First Suffolk & Middlesex']"
canton,11098.27,"['Norfolk, Bristol & Plymouth']"
carlisle,2300.0,['Third Middlesex']
charlton,1450.0,"['Worcester, Hampden, Hampshire & Middlesex']"
chelmsford,3235.05,['Third Middlesex']
chelsea,4312.5,['Middlesex & Suffolk']
chicopee,5250.0,"['Hampden', 'First Hampden & Hampshire', 'Second Hampden & Hampshire']"
cohasset,7050.0,['Plymouth & Norfolk']
concord,3613.8900000000003,['Third Middlesex']
danvers,8300.0,['Second Essex']
dartmouth,6075.0,['Second Bristol & Plymouth']
dedham,3900.0,['Norfolk & Suffolk']
deerfield,510.0,"['Hampshire, Franklin & Worcester']"
dighton,4800.0,['First Plymouth & Bristol']
douglas,600.0,['Worcester & Norfolk']
dover,9150.0,['Norfolk & Suffolk']
dracut,1376.0,['Second Essex & Middlesex']
dudley,1880.81,['Worcester & Norfolk']
duxbury,2250.0,['Plymouth & Norfolk']
east bridgewater,2100.0,"['Norfolk, Bristol & Plymouth', 'Second Plymouth & Bristol']"
