"Brewster - Pct. 1, 2",First Barnstable
Dennis,First Barnstable
"Yarmouth - Pcts. 1-4, 7",First Barnstable
"Barnstable - Pcts. 2-10, 13",Second Barnstable
"Yarmouth - Pcts. 5, 6",Second Barnstable
Bourne - Pcts. 3-6,Third Barnstable
"Falmouth - Pcts. 3, 4, 7-9",Third Barnstable
Mashpee,Third Barnstable
Brewster - Pct. 3,Fourth Barnstable
Chatham,Fourth Barnstable
Eastham,Fourth Barnstable
Harwich,Fourth Barnstable
Orleans,Fourth Barnstable
Provincetown,Fourth Barnstable
Truro,Fourth Barnstable
Wellfleet,Fourth Barnstable
"Barnstable - Pcts. 11, 12",Fifth Barnstable
"Bourne - Pct. 1, 2, 7",Fifth Barnstable
Sandwich,Fifth Barnstable
Plymouth - Pct. 9,Fifth Barnstable
Aquinnah (Dukes County),"Barnstable, Dukes and Nantucket"
Chilmark (Dukes County),"Barnstable, Dukes and Nantucket"
Edgartown (Dukes County),"Barnstable, Dukes and Nantucket"
"Falmouth (Barnstable County) - Pcts. 1, 2, 5, 6","Barnstable, Dukes and Nantucket"
Gosnold (Dukes County),"Barnstable, Dukes and Nantucket"
Nantucket (Nantucket County),"Barnstable, Dukes and Nantucket"
Oak Bluffs (Dukes County),"Barnstable, Dukes and Nantucket"
Tisbury (Dukes County),"Barnstable, Dukes and Nantucket"
West Tisbury (Dukes County),"Barnstable, Dukes and Nantucket"
Adams,First Berkshire
Cheshire,First Berkshire
Clarksburg,First Berkshire
Florida,First Berkshire
Hancock,First Berkshire
Lanesborough,First Berkshire
New Ashford,First Berkshire
NORTH ADAMS,First Berkshire
Williamstown,First Berkshire
Dalton,Second Berkshire
Hinsdale,Second Berkshire
Peru,Second Berkshire
"PITTSFIELD - Wd. 1, Pct. B",Second Berkshire
Savoy,Second Berkshire
Windsor,Second Berkshire
Bernardston (Franklin County),Second Berkshire
Charlemont (Franklin County),Second Berkshire
Colrain (Franklin County),Second Berkshire
Greenfield (Franklin County),Second Berkshire
Hawley (Franklin County),Second Berkshire
Heath (Franklin County),Second Berkshire
Leyden (Franklin County),Second Berkshire
Monroe (Franklin County),Second Berkshire
Northfield (Franklin County),Second Berkshire
Rowe (Franklin County),Second Berkshire
PITTSFIELD:,Third Berkshire
"Wd. 1, Pct. A",Third Berkshire
Wds. 2-7,Third Berkshire
Alford,Fourth Berkshire
Becket,Fourth Berkshire
Egremont,Fourth Berkshire
Great Barrington,Fourth Berkshire
Lee,Fourth Berkshire
Lenox,Fourth Berkshire
Monterey,Fourth Berkshire
Mount Washington,Fourth Berkshire
New Marlborough,Fourth Berkshire
Otis,Fourth Berkshire
Richmond,Fourth Berkshire
Sandisfield,Fourth Berkshire
Sheffield,Fourth Berkshire
Stockbridge,Fourth Berkshire
Tyringham,Fourth Berkshire
Washington,Fourth Berkshire
West Stockbridge,Fourth Berkshire
Blandford (Hampden County),Fourth Berkshire
Russell (Hampden County),Fourth Berkshire
Tolland (Hampden County),Fourth Berkshire
Foxborough (Norfolk County),First Bristol
"Mansfield - Pcts. 2, 3, 6",First Bristol
Norton - Pcts. 3-5,First Bristol
ATTLEBORO:,Second Bristol
Easton - Pct. 6,Third Bristol
TAUNTON:,Third Bristol
"Norton - Pcts. 1, 2",Fourth Bristol
Rehoboth,Fourth Bristol
Seekonk,Fourth Bristol
"Swansea - Pcts. 4, 5",Fourth Bristol
Dighton,Fifth Bristol
Somerset,Fifth Bristol
"Swansea - Pcts. 1, 2, 3",Fifth Bristol
TAUNTON - Wd. 6,Fifth Bristol
FALL RIVER:,Sixth Bristol
Freetown - Pct. 1,Sixth Bristol
FALL RIVER:,Seventh Bristol
FALL RIVER:,Eigth Bristol
"NEW BEDFORD - Wd. 1, Pcts. D-F",Eigth Bristol
Westport,Eigth Bristol
Dartmouth,Ninth Bristol
"NEW BEDFORD - Wd. 3, Pcts. D-F",Ninth Bristol
Fairhaven,Tenth Bristol
NEW BEDFORD:,Tenth Bristol
Marion (Plymouth County),Tenth Bristol
Mattapoisett (Plymouth County),Tenth Bristol
Rochester (Plymouth County),Tenth Bristol
Acushnet,Eleventh Bristol
NEW BEDFORD:,Eleventh Bristol
Berkley,Twelfth Bristol
TAUNTON:,Twelfth Bristol
Lakeville (Plymouth County),Twelfth Bristol
"Middleborough (Plymouth County) - Pcts. 2, 4, 5",Twelfth Bristol
NEW BEDFORD:,Thirteenth Bristol
"ATTLEBORO - Wd. 3, Pct. B",Fourteenth Bristol
"Mansfield - Pcts. 1, 5",Fourteenth Bristol
North Attleborough,Fourteenth Bristol
Amesbury,First Essex
NEWBURYPORT,First Essex
Salisbury,First Essex
Boxford - Pcts. 2-3,Second Essex
Georgetown,Second Essex
Groveland,Second Essex
HAVERHILL:,Second Essex
Merrimac,Second Essex
Newbury,Second Essex
Rowley,Second Essex
West Newbury,Second Essex
HAVERHILL:,Third Essex
Hamilton,Fourth Essex
Ipswich,Fourth Essex
Manchester-by-the-Sea,Fourth Essex
Rowley,Fourth Essex
Topsfield,Fourth Essex
Wenham,Fourth Essex
Essex,Fifth Essex
GLOUCESTER,Fifth Essex
Rockport,Fifth Essex
BEVERLY,Sixth Essex
SALEM,Seventh Essex
LYNN:,Eighth Essex
Marblehead,Eighth Essex
Swampscott,Eighth Essex
"LYNN - Wd. 1, Pcts. 1, 2",Ninth Essex
"Saugus - Pcts. 1, 2, 4-9",Ninth Essex
"Wakefield - Pcts. 1-3, 7",Ninth Essex
LYNN:,Tenth Essex
LYNN:,Eleventh Essex
Nahant,Eleventh Essex
PEABODY:,Twelfth Essex
Danvers,Thirteenth Essex
Middleton - Pct. 2,Thirteenth Essex
PEABODY:,Thirteenth Essex
"HAVERHILL - Wd. 7, Pct. 2",Fourteenth Essex
LAWRENCE:,Fourteenth Essex
"Methuen - Pcts. 3, 7, 10",Fourteenth Essex
North Andover - Pcts. 1-5,Fourteenth Essex
HAVERHILL:,Fifteenth Essex
"Methuen - Pcts., 1, 4-6, 8, 9, 11, 12",Fifteenth Essex
LAWRENCE:,Sixteenth Essex
Andover - Pcts. 2-4,Seventeenth Essex
LAWRENCE:,Seventeenth Essex
Methuen - Pct. 2,Seventeenth Essex
"Andover - Pcts. 1, 5, 6, 7, 7A, 8, 9, 9A",Eighteenth Essex
Boxford - Pct. 1,Eighteenth Essex
North Andover - Pcts. 6-8,Eighteenth Essex
"Tewskbury (Middlesex County) - Pcts. 3, 3A",Eighteenth Essex
Chester (Hampden County),First Franklin
Ashfield,First Franklin
Buckland,First Franklin
Conway,First Franklin
Deerfield,First Franklin
Leverett,First Franklin
Montague,First Franklin
Shelburne,First Franklin
Shutesbury,First Franklin
Sunderland,First Franklin
Whately,First Franklin
Chesterfield (Hampshire County),First Franklin
Cummington (Hampshire County),First Franklin
Goshen (Hampshire County),First Franklin
Huntington (Hampshire County),First Franklin
Middlefield (Hampshire County),First Franklin
Plainfield (Hampshire County),First Franklin
Williamsburg (Hampshire County),First Franklin
Worthington (Hampshire County),First Franklin
Erving,Second Franklin
Gill,Second Franklin
New Salem,Second Franklin
Orange,Second Franklin
Warwick,Second Franklin
Wendell,Second Franklin
Belchertown (Hampshire County) - Pct. A,Second Franklin
Athol (Worcester County),Second Franklin
Petersham (Worcester County),Second Franklin
Phillipston (Worcester County),Second Franklin
Royalson (Worcester County),Second Franklin
Templeton (Worcester County),Second Franklin
Brimfield,First Hampden
Holland,First Hampden
Palmer,First Hampden
Wales,First Hampden
"Ware (Hampshire County) - Pct. B, C",First Hampden
Sturbridge (Worcester County),First Hampden
Warren (Worcester County),First Hampden
East Longmeadow - Pcts. 2-4,Second Hampden
Hampden,Second Hampden
Longmeadow,Second Hampden
Monson,Second Hampden
Agawam,Third Hampden
Granville,Third Hampden
Southwick,Third Hampden
WESTFIELD,Fourth Hampden
HOLYOKE,Fifth Hampden
CHICOPEE:,Sixth Hampden
"SPRINGFIELD - Wd. 2, Pct. E",Sixth Hampden
West Springfield,Sixth Hampden
"Belchertown (Hampshire County) - Pcts. B, C, D",Seventh Hampden
"CHICOPEE - Wd. 6, Pct. B",Seventh Hampden
Ludlow,Seventh Hampden
"SPRINGFIELD - Wd. 8, Pcts. E-G",Seventh Hampden
CHICOPEE:,Eighth Hampden
"CHICOPEE - Wd. 5, Pct. A",Ninth Hampden
SPRINGFIELD:,Ninth Hampden
SPRINGFIELD:,Tenth Hampden
SPRINGFIELD:,Eleventh Hampden
East Longmeadow - Pct. 1,Twelfth Hampden
SPRINGFIELD:,Twelfth Hampden
Wilbraham,Twelfth Hampden
Hatfield,First Hampshire
Montgomery (Hampden County),First Hampshire
NORTHAMPTON,First Hampshire
Southampton,First Hampshire
Westhampton,First Hampshire
Easthampton,Second Hampshire
Granby - Pct. 2,Second Hampshire
Hadley,Second Hampshire
South Hadley,Second Hampshire
Amherst,Third Hampshire
Granby - Pct. 1,Third Hampshire
Pelham,Third Hampshire
Ayer - Pct. 1,First Middlesex
Ashby,First Middlesex
Dunstable,First Middlesex
Groton,First Middlesex
Pepperell,First Middlesex
Townsend,First Middlesex
"Chelmsford - Pcts. 5, 7, 8",First Middlesex
Littleton,First Middlesex
Westford,First Middlesex
Bolton (Worcester County),Third Middlesex
Hudson,Third Middlesex
Maynard,Third Middlesex
Stow,Third Middlesex
MARLBOROUGH:,Fourth Middlesex
"Northborough (Worcester County) - Pcts. 1, 3",Fourth Middlesex
"Westborough (Worcester County) - Pcts. 1, 3",Fourth Middlesex
"Millis (Norfolk County) - Pcts. 2, 3",Fifth Middlesex
Natick,Fifth Middlesex
Sherborn,Fifth Middlesex
"Framingham - Pcts. 1, 2, 4-7, 9-12, 15",Sixth Middlesex
Ashland,Seventh Middlesex
"Framingham - Pcts. 8, 13, 14, 16-18",Seventh Middlesex
Holliston,Eighth Middlesex
Hopkinton,Eighth Middlesex
Southborough (Worcester County),Eighth Middlesex
Westborough (Worcester County) - Pct. 2,Eighth Middlesex
Lincoln,Ninth Middlesex
WALTHAM:,Ninth Middlesex
"NEWTON - Wd. 1, Pcts. 1, 4",Tenth Middlesex
WALTHAM:,Tenth Middlesex
Watertown - Pcts. 10- 12,Tenth Middlesex
NEWTON:,Eleventh Middlesex
NEWTON:,Twelfth Middlesex
Framingham - Pct. 3,Thirteenth Middlesex
MARLBOROUGH :,Thirteenth Middlesex
Sudbury,Thirteenth Middlesex
"Wayland - Pcts. 1, 2, 3",Thirteenth Middlesex
"Acton - Pcts. 1, 2, 6",Fourteenth Middlesex
Carlisle,Fourteenth Middlesex
"Chelmsford - Pcts. 1, 9",Fourteenth Middlesex
Concord,Fourteenth Middlesex
Lexington,Fifteenth Middlesex
"WOBURN - Wds. 1, 7",Fifteenth Middlesex
"Chelmsford - Pcts. 2, 3, 6",Sixteenth Middlesex
"LOWELL - Wds. 5, 6, 9",Sixteenth Middlesex
Chelmsford - Pct. 4,Seventeenth Middlesex
LOWELL:,Seventeenth Middlesex
LOWELL:,Eighteenth Middlesex
"Tewksbury - Pcts. 1, 1A, 2, 2A, 4, 4A",Nineteenth Middlesex
"Wilmington - Pcts. 1, 2-6",Nineteenth Middlesex
Lynnfield (Essex County),Twentieth Middlesex
Middleton (Essex County) - Pct. 1,Twentieth Middlesex
North Reading,Twentieth Middlesex
"Reading - Pcts. 1, 6-8",Twentieth Middlesex
Bedford,Twenty-First Middlesex
Burlington,Twenty-First Middlesex
Wilmington - Pct. 3,Twenty-First Middlesex
Billerica,Twenty-Second Middlesex
"Arlington - Pcts. 1, 3, 5-7, 9, 11, 13-21",Twenty-Third Middlesex
MEDFORD:,Twenty-Third Middlesex
"Arlington - Pct. 2, 4, 8, 10, 12",Twenty-Fourth Middlesex
Belmont,Twenty-Fourth Middlesex
"CAMBRIDGE - Wd. 11, Pcts. 1, 3",Twenty-Fourth Middlesex
CAMBRIDGE:,Twenty-Fifth Middlesex
CAMBRIDGE:,Twenty-Sixth Middlesex
SOMERVILLE:,Twenty-Sixth Middlesex
SOMERVILLE:,Twenty-Seventh Middlesex
