,year,district,name,sex,party,vote_count,vote_percent
168,2014,1st Barnstable,Timothy R. Whelan,m,Republican,"10,170",52.0
169,2014,2nd Barnstable,Brian R. Mannal,m,Democratic,"7,801",50.6
170,2014,3rd Barnstable,David T. Vieira,m,Republican,"12,681",99.1
171,2014,4th Barnstable,Sarah K. Peake,f,Democratic,"16,292",99.1
172,2014,5th Barnstable,Randy Hunt,m,Republican,"10,309",62.7
173,2014,"Barnstable, Dukes and Nantucket",Timothy R. Madden,m,Democratic,"13,452",99.3
174,2014,1st Berkshire,Gailanne M. Cariddi,f,Democratic,"9,251",99.7
175,2014,2nd Berkshire,Paul W. Mark,m,Democratic,"10,816",99.7
176,2014,3rd Berkshire,Tricia Farley-Bouvier,f,Democratic,"8,079",99.4
177,2014,4th Berkshire,"William ""Smitty"" Pignatelli",m,Democratic,"12,408",99.0
178,2014,1st Bristol,Fred Jay Barrows,m,Republican,"10,843",99.8
179,2014,2nd Bristol,Paul R. Heroux,m,Democratic,"6,621",60.9
180,2014,3rd Bristol,Shaunna L. O'Connell,f,Republican,"6,824",61.3
181,2014,4th Bristol,Steven S. Howitt,m,Republican,"9,424",98.9
182,2014,5th Bristol,Patricia A. Haddad,f,Democratic,"9,447",98.9
183,2014,6th Bristol,Carole A. Fiola,f,Democratic,"5,369",59.4
184,2014,7th Bristol,Alan Silvia,m,Democratic,"5,151",99.4
185,2014,8th Bristol,"Paul Schmid, A. Lll",m,Democratic,"8,334",99.3
186,2014,9th Bristol,Christopher M. Markey,m,Democratic,"6,977",66.7
187,2014,10th Bristol,William M. Straus,m,Democratic,"8,668",65.5
188,2014,11th Bristol,Robert M. Koczera,m,Democratic,"6,233",98.8
189,2014,12th Bristol,Keiko M. Orrall,f,Republican,"10,100",99.0
190,2014,13th Bristol,Antonio d. F. Cabral,m,Democratic,"6,270",98.6
191,2014,14th Bristol,Elizabeth A. Poirier,f,Republican,"10,494",99.4
192,2014,1st Essex,James M. Kelcourse,m,Republican,"6,978",42.0
193,2014,2nd Essex,Leonard Mirra,m,Republican,"14,083",99.2
194,2014,3rd Essex,Brian S. Dempsey,m,Democratic,"8,901",97.8
195,2014,4th Essex,Bradford R. Hill,m,Republican,"15,936",99.5
196,2014,5th Essex,Ann-Margaret Ferrante,f,Democratic,"9,439",58.9
197,2014,6th Essex,Jerald A. Parisella,m,Democratic,"9,912",74.1
198,2014,7th Essex,Paul F. Tucker,m,Democratic,"10,187",83.9
199,2014,8th Essex,Lori A. Ehrlich,f,Democratic,"12,906",99.2
200,2014,9th Essex,Donald H. Wong,m,Republican,"9,721",60.5
201,2014,10th Essex,Robert F. Fennell,m,Democratic,"7,090",98.1
202,2014,11th Essex,Brendan P. Crighton,m,Democratic,"7,368",98.1
203,2014,12th Essex,Leah Cole,f,Republican,"7,265",51.5
204,2014,13th Essex,Theodore C. Speliotis,m,Democratic,"8,459",52.4
205,2014,14th Essex,Diana DiZoglio,f,Democratic,"6,732",54.8
206,2014,15th Essex,Linda Dean Campbell,f,Democratic,"7,716",57.3
207,2014,16th Essex,Marcos A. Devers,m,Democratic,"3,667",46.9
208,2014,17th Essex,Frank A. Moran,m,Democratic,"6,819",97.5
209,2014,18th Essex,"James J. Lyons, Jr.",m,Republican,"12,584",99.1
210,2014,1st Franklin,Stephen Kulik,m,Democratic,"11,987",69.9
211,2014,2nd Franklin,Susannah Whipps M. Lee,,Republican,"7,350",54.5
212,2014,1st Hampden,Todd M. Smola,m,Republican,"11,528",99.3
213,2014,2nd Hampden,Brian M. Ashe,m,Democratic,"12,104",98.3
214,2014,3rd Hampden,Nicholas A. Boldyga,m,Republican,"9,401",67.8
215,2014,4th Hampden,John C. Velis,m,Democratic,"2,697",53.4
216,2014,4th Hampden,John C. Velis,m,Democratic,"7,327",58.9
217,2014,5th Hampden,Aaron Vega,m,Democratic,"7,902",97.9
218,2014,6th Hampden,Michael J. Finn,m,Democratic,"6,113",56.8
219,2014,7th Hampden,Thomas M. Petrolati,m,Democratic,"9,462",97.9
220,2014,8th Hampden,Joseph F. Wagner,m,Democratic,"9,284",97.9
221,2014,9th Hampden,Jose F. Tosado,m,Democratic,"7,396",78.1
222,2014,10th Hampden,Carlos Gonzalez,m,Democratic,"5,313",97.8
223,2014,11th Hampden,Benjamin Swan,m,Democratic,"6,325",96.6
224,2014,12th Hampden,"Angelo J. Puppolo, Jr.",m,Democratic,"9,299",64.7
225,2014,1st Hampshire,Peter V. Kocot,m,Democratic,"13,937",99.5
226,2014,2nd Hampshire,John W. Scibak,m,Democratic,"12,249",99.1
