Adams,"Berkshire, Hampshire, Franklin & Hampden",
Alford,"Berkshire, Hampshire, Franklin & Hampden",
Becket,"Berkshire, Hampshire, Franklin & Hampden",
Cheshire,"Berkshire, Hampshire, Franklin & Hampden",
Clarksburg,"Berkshire, Hampshire, Franklin & Hampden",
Dalton,"Berkshire, Hampshire, Franklin & Hampden",
Egremont,"Berkshire, Hampshire, Franklin & Hampden",
Florida,"Berkshire, Hampshire, Franklin & Hampden",
Great Barrington,"Berkshire, Hampshire, Franklin & Hampden",
Hancock,"Berkshire, Hampshire, Franklin & Hampden",
Hinsdale,"Berkshire, Hampshire, Franklin & Hampden",
Lanesborough,"Berkshire, Hampshire, Franklin & Hampden",
Lee,"Berkshire, Hampshire, Franklin & Hampden",
Lenox,"Berkshire, Hampshire, Franklin & Hampden",
Monterey,"Berkshire, Hampshire, Franklin & Hampden",
Mount Washington,"Berkshire, Hampshire, Franklin & Hampden",
New Ashford,"Berkshire, Hampshire, Franklin & Hampden",
New Marlborough,"Berkshire, Hampshire, Franklin & Hampden",
NORTH ADAMS,"Berkshire, Hampshire, Franklin & Hampden",
Otis ,"Berkshire, Hampshire, Franklin & Hampden",
Peru,"Berkshire, Hampshire, Franklin & Hampden",
PITTSFIELD,"Berkshire, Hampshire, Franklin & Hampden",
Richmond,"Berkshire, Hampshire, Franklin & Hampden",
Sandisfield,"Berkshire, Hampshire, Franklin & Hampden",
Savoy,"Berkshire, Hampshire, Franklin & Hampden",
Sheffield,"Berkshire, Hampshire, Franklin & Hampden",
Stockbridge,"Berkshire, Hampshire, Franklin & Hampden",
Tyringham,"Berkshire, Hampshire, Franklin & Hampden",
Washington,"Berkshire, Hampshire, Franklin & Hampden",
West Stockbridge,"Berkshire, Hampshire, Franklin & Hampden",
Williamstown,"Berkshire, Hampshire, Franklin & Hampden",
Windsor,"Berkshire, Hampshire, Franklin & Hampden",
Chesterfield,"Berkshire, Hampshire, Franklin & Hampden",
Cummington,"Berkshire, Hampshire, Franklin & Hampden",
Goshen,"Berkshire, Hampshire, Franklin & Hampden",
Huntington,"Berkshire, Hampshire, Franklin & Hampden",
Middlefield,"Berkshire, Hampshire, Franklin & Hampden",
Plainfield,"Berkshire, Hampshire, Franklin & Hampden",
Westhampton,"Berkshire, Hampshire, Franklin & Hampden",
Williamsburg,"Berkshire, Hampshire, Franklin & Hampden",
Worthington,"Berkshire, Hampshire, Franklin & Hampden",
Ashfield,"Berkshire, Hampshire, Franklin & Hampden",
Buckland,"Berkshire, Hampshire, Franklin & Hampden",
Charlemont,"Berkshire, Hampshire, Franklin & Hampden",
Conway,"Berkshire, Hampshire, Franklin & Hampden",
Hawley,"Berkshire, Hampshire, Franklin & Hampden",
Heath,"Berkshire, Hampshire, Franklin & Hampden",
Monroe,"Berkshire, Hampshire, Franklin & Hampden",
Rowe,"Berkshire, Hampshire, Franklin & Hampden",
Shelburne,"Berkshire, Hampshire, Franklin & Hampden",
Blandford,"Berkshire, Hampshire, Franklin & Hampden",
Chester,"Berkshire, Hampshire, Franklin & Hampden",
"ATTLEBORO - Wd. 3, Pct. B; Wds. 4, 5, 6",Bristol and Norfolk,
Mansfield,Bristol and Norfolk,
Norton,Bristol and Norfolk,
Rehoboth,Bristol and Norfolk,
Seekonk,Bristol and Norfolk,
Foxborough,Bristol and Norfolk,
Medfield,Bristol and Norfolk,
"Sharon - Pcts. 1, 4, 5",Bristol and Norfolk,
Walpole,Bristol and Norfolk,
FALL RIVER,First Bristol and Plymouth,
Freetown,First Bristol and Plymouth,
Somerset,First Bristol and Plymouth,
Swansea,First Bristol and Plymouth,
Westport,First Bristol and Plymouth,
Lakeville,First Bristol and Plymouth,
Rochester,First Bristol and Plymouth,
Acushnet,Second Bristol and Plymouth,
Dartmouth,Second Bristol and Plymouth,
Fairhaven,Second Bristol and Plymouth,
NEW BEDFORD,Second Bristol and Plymouth,
Mattapoisett,Second Bristol and Plymouth,
Barnstable,Cape and Islands,
Brewster,Cape and Islands,
Chatham,Cape and Islands,
Dennis,Cape and Islands,
Eastham,Cape and Islands,
Harwich,Cape and Islands,
Mashpee,Cape and Islands,
Orleans,Cape and Islands,
Provincetown,Cape and Islands,
Truro,Cape and Islands,
