,city_town,senate_district
0,abington,['Norfolk and Plymouth']
1,acton,['Middlesex and Worcester']
2,acushnet,['Second Bristol and Plymouth']
3,adams,"['Berkshire, Hampshire, Franklin & Hampden']"
4,agawam,['Second Hampden and Hampshire']
5,alford,"['Berkshire, Hampshire, Franklin & Hampden']"
6,amesbury,['First Essex']
7,amherst,"['Hampshire, Franklin and Worcester']"
8,andover,['Second Essex and Middlesex']
9,aquinnah,['Cape and Islands']
10,arlington,['Fourth Middlesex']
11,ashburnham,"['Worcester, Hampden, Hampshire and Middlesex']"
12,ashby,"['Worcester, Hampden, Hampshire and Middlesex']"
13,ashfield,"['Berkshire, Hampshire, Franklin & Hampden']"
14,ashland,['Second Middlesex and Norfolk']
15,athol,"['Worcester, Hampden, Hampshire and Middlesex']"
16,attleboro,"['Bristol and Norfolk', 'Norfolk, Bristol and Middlesex']"
17,auburn,['Second Worcester']
18,avon,"['Norfolk, Bristol and Plymouth']"
19,ayer,['Middlesex and Worcester']
20,barnstable,['Cape and Islands']
21,barre,"['Worcester, Hampden, Hampshire and Middlesex']"
22,becket,"['Berkshire, Hampshire, Franklin & Hampden']"
23,bedford,['Third Middlesex']
24,belchertown,['First Hampden and Hampshire']
25,bellingham,['Worcester and Norfolk']
26,belmont,['Second Suffolk and Middlesex']
27,berkley,['First Plymouth and Bristol']
28,berlin,['Worcester and Middlesex']
29,bernardston,"['Hampshire, Franklin and Worcester']"
30,beverly,['Second Essex']
31,billerica,['Fourth Middlesex']
32,blackstone,['Worcester and Norfolk']
33,blandford,"['Berkshire, Hampshire, Franklin & Hampden']"
34,bolton,['Worcester and Middlesex']
35,boston,"['Middlesex and Suffolk', 'Norfolk and Suffolk', 'First Suffolk', 'Second Suffolk', 'First Suffolk and Middlesex', 'Second Suffolk and Middlesex']"
36,bourne,['Plymouth and Barnstable']
37,boxborough,['Middlesex and Worcester']
38,boxford,['First Essex and Middlesex']
39,boylston,['First Worcester']
40,braintree,"['Norfolk, Bristol and Plymouth', 'Norfolk and Plymouth']"
41,brewster,['Cape and Islands']
42,bridgewater,['First Plymouth and Bristol']
43,brimfield,"['Worcester, Hampden, Hampshire and Middlesex']"
44,brockton,['Second Plymouth and Bristol']
45,brookfield,"['Worcester, Hampden, Hampshire and Middlesex']"
46,brookline,['First Middlesex and Norfolk']
