,District,Amount
0,7th Plymouth,5725.0
1,14th Middlesex,94736.74
2,37th Middlesex,37250.0
3,1st Berkshire,3061.8
4,3rd Hampden,7365.32
5,1st Essex,23468.07
6,3rd Hampshire,10000.0
7,17th Essex,59798.55
8,18th Essex,56125.48
9,23rd Middlesex,26553.53
10,24th Middlesex,677845.58
11,7th Middlesex,11100.0
12,2nd Franklin,34222.35
13,2nd Bristol,4880.83
14,14th Bristol,7030.83
15,7th Worcester,36969.1
16,2nd Barnstable,3290.78
17,5th Barnstable,49299.66
18,21st Middlesex,75075.1
19,7th Hampden,81899.64
20,8th Worcester,26811.37
21,2nd Berkshire,20207.22
22,6th Essex,15600.0
23,22nd Middlesex,572.0
24,3rd Middlesex,6720.05
25,1st Suffolk,91381.23
26,2nd Suffolk,91381.23
27,3rd Suffolk,91381.23
28,4th Suffolk,91381.23
29,5th Suffolk,91381.23
30,6th Suffolk,91381.23
31,7th Suffolk,91381.23
32,8th Suffolk,109992.29
33,9th Suffolk,91381.23
34,10th Suffolk,97475.23
35,11th Suffolk,91381.23
36,12th Suffolk,161292.96
37,13th Suffolk,99616.73
38,14th Suffolk,91381.23
39,15th Suffolk,97475.23
40,17th Suffolk,91381.23
41,18th Suffolk,97475.23
42,3rd Barnstable,8162.18
43,5th Norfolk,733621.01
44,1st Barnstable,5278.78
45,4th Barnstable,5650.38
46,8th Plymouth,4300.0
47,9th Plymouth,5175.29
48,10th Plymouth,5175.29
49,11th Plymouth,8175.29
50,15th Norfolk,6094.0
51,25th Middlesex,18611.06
52,26th Middlesex,44214.93
53,29th Middlesex,581551.06
54,6th Norfolk,18555.8
55,1st Middlesex,14792.5
56,16th Middlesex,2793.35
57,17th Middlesex,2793.35
58,6th Hampden,18197.46
59,8th Hampden,5745.84
60,9th Hampden,18197.46
61,3rd Plymouth,25660.02
62,13th Essex,18180.0
63,9th Bristol,98643.12
64,11th Norfolk,45046.25
65,1st Franklin,68973.0
66,13th Norfolk,19856.97
67,36th Middlesex,1100.0
68,6th Worcester,13010.0
69,6th Plymouth,6732.66
70,12th Plymouth,10736.66
71,2nd Hampshire,20180.0
72,3rd Bristol,4465.64
73,28th Middlesex,13258.93
74,10th Bristol,9940.57
75,6th Bristol,24811.09
76,7th Bristol,24811.09
77,8th Bristol,27266.27
78,"Barnstable, Dukes and Nantucket",4283.43
79,3rd Worcester,4955.0
80,1st Bristol,1500.0
81,6th Middlesex,2500.0
82,13th Middlesex,48772.42
83,10th Norfolk,56956.76
84,2nd Worcester,17925.35
85,5th Essex,19750.0
86,9th Worcester,8500.0
87,1st Hampshire,10553.37
88,2nd Essex,82488.68
89,3rd Essex,11409.5
90,14th Essex,50494.2
91,15th Essex,19404.17
92,1st Worcester,800.0
93,8th Middlesex,82086.85
94,5th Hampden,13712.1
95,16th Essex,13384.22
96,4th Worcester,22168.65
97,15th Middlesex,201491.28
98,9th Middlesex,55800.0
99,2nd Hampden,38358.05
100,18th Middlesex,2500.85
101,8th Essex,14237.07
102,9th Essex,14116.5
103,10th Essex,1237.07
104,11th Essex,1816.75
105,20th Middlesex,26425.0
106,32nd Middlesex,16095.85
107,33rd Middlesex,1666.67
108,35th Middlesex,11670.2
109,8th Norfolk,7405.8
110,4th Middlesex,46813.09
111,4th Plymouth,5233.9
112,9th Norfolk,8486.92
113,34th Middlesex,35607.4
114,10th Worcester,11103.84
115,12th Bristol,1798.97
116,2nd Plymouth,333.33
117,7th Norfolk,70983.97
118,5th Middlesex,96498.28
119,11th Bristol,1455.18
120,13th Bristol,1455.18
121,10th Middlesex,591451.72
122,11th Middlesex,27711.72
123,12th Middlesex,27711.72
124,12th Worcester,375.0
125,5th Plymouth,43731.85
126,12th Norfolk,4000.0
127,12th Essex,11650.0
128,3rd Berkshire,6534.44
129,1st Plymouth,4070.66
130,1st Norfolk,9307.74
131,2nd Norfolk,8235.5
132,3rd Norfolk,11144.91
133,30th Middlesex,29374.43
134,16th Suffolk,38310.6
135,19th Suffolk,44882.39
136,7th Essex,123983.14
137,11th Worcester,31628.72
138,5th Bristol,16521.74
139,27th Middlesex,25603.87
140,10th Hampden,12451.62
141,11th Hampden,12451.62
142,12th Hampden,12451.62
143,31st Middlesex,16720.0
144,1st Hampden,1617.0
145,18th Worcester,30158.56
146,4th Bristol,10056.1
147,19th Middlesex,69344.67
148,4th Essex,10000.0
149,4th Berkshire,718.49
150,14th Norfolk,197500.0
151,14th Worcester,17915.86
152,4th Hampden,6128.0
153,4th Norfolk,2909.41
154,13th Worcester,13521.86
155,15th Worcester,13521.86
156,16th Worcester,13521.86
157,17th Worcester,13521.86
