,District,Amount
0,Norfolk & Plymouth,415750.73
1,Middlesex & Worcester,176418.34
2,"Berkshire, Hampshire, Franklin & Hampden",26622.18
3,Second Hampden & Hampshire,46546.53
4,First Essex,111873.89
5,"Hampshire, Franklin & Worcester",115320.06
6,Second Essex & Middlesex,145591.99
7,Fourth Middlesex,193972.21
8,Second Middlesex & Norfolk,174954.32
9,"Worcester, Hampden, Hampshire & Middlesex",44945.44
10,Bristol & Norfolk,7954.67
11,"Norfolk, Bristol & Middlesex",165112.42
12,Second Worcester,79035.79
13,Cape & Islands,18333.69
14,Third Middlesex,287435.66
15,First Hampden & Hampshire,148576.21
16,Worcester & Norfolk,71979.93
17,Second Suffolk & Middlesex,2027478.01
18,Second Essex,179413.14
19,Worcester & Middlesex,46069.05
20,Middlesex & Suffolk,303190.85
21,Norfolk & Suffolk,326072.94
22,First Suffolk,258913.49
23,Second Suffolk,258913.49
24,First Suffolk & Middlesex,373124.92
25,Plymouth & Barnstable,66772.84
26,"Norfolk, Bristol & Plymouth",537776.17
27,First Plymouth & Bristol,9696.92
28,Second Plymouth & Bristol,22950.86
29,First Middlesex & Norfolk,176511.17
30,Second Middlesex,145590.64
31,Hampden,45015.98
32,Plymouth & Norfolk,77275.57
33,Second Bristol & Plymouth,112949.23
34,First Bristol & Plymouth,100545.48
35,First Essex & Middlesex,206146.33
36,First Worcester,39373.64
37,First Middlesex,22002.54
38,Third Essex,28527.96
39,Fifth Middlesex,44128.61
