,year,district,name,sex,party,vote_count,vote_percent
173,2012,"Berkshire, Hampshire and Franklin",Benjamin B. Downing,m,Democratic,"64,679",99.5
174,2012,Bristol and Norfolk,James E. Timilty,m,Democratic,"47,333",62.5
175,2012,1st Bristol and Plymouth,Michael J. Rodrigues,m,Democratic,"53,169",99.6
176,2012,2nd Bristol and Plymouth,Mark C. Montigny,m,Democratic,"55,059",99.2
177,2012,Cape and Islands,Daniel A. Wolf,m,Democratic,"80,236",99.5
178,2012,1st Essex,Kathleen A. O'Connor Ives,f,Democratic,"36,405",45.9
179,2012,2nd Essex,Joan B. Lovely,f,Democratic,"56,088",70.6
180,2012,3rd Essex,Thomas M. McGee,m,Democratic,"56,936",98.9
181,2012,1st Essex and Middlesex,Bruce E. Tarr,m,Republican,"78,386",99.1
182,2012,2nd Essex and Middlesex,Barry R. Finegold,m,Democratic,"44,394",65.1
183,2012,Hampden,James T. Welch,m,Democratic,"44,180",98.6
184,2012,1st Hampden and Hampshire,Gale D. Candaras,f,Democratic,"59,213",98.6
185,2012,2nd Hampden and Hampshire,Michael R. Knapik,m,Republican,"54,649",99.1
186,2012,"Hampshire, Franklin and Worcester",Stanley C. Rosenberg,m,Democratic,"66,072",99.4
187,2012,1st Middlesex,Eileen M. Donoghue,f,Democratic,"44,177",71.1
188,2012,2nd Middlesex,Patricia D. Jehlen,f,Democratic,"66,267",98.6
189,2012,3rd Middlesex,Michael J. Barrett,m,Democratic,"49,213",60.5
190,2012,4th Middlesex,Kenneth J. Donnelly,m,Democratic,"56,100",68.0
191,2012,5th Middlesex,Katherine M. Clark,f,Democratic,"58,256",98.8
192,2012,1st Middlesex and Norfolk,Cynthia Stone Creem,f,Democratic,"61,397",98.9
193,2012,2nd Middlesex and Norfolk,Karen E. Spilka,f,Democratic,"57,863",98.4
194,2012,Middlesex and Worcester,James B. Eldridge,m,Democratic,"52,922",64.5
195,2012,Middlesex and Suffolk,Sal N. DiDomenico,m,Democratic,"47,586",98.9
196,2012,"Norfolk, Bristol and Middlesex",Richard J. Ross,m,Republican,"60,885",98.9
197,2012,"Norfolk, Bristol and Plymouth",Brian A. Joyce,m,Democratic,"64,019",98.0
198,2012,Norfolk and Plymouth,John F. Keenan,m,Democratic,"56,518",98.7
199,2012,Norfolk and Suffolk,Michael F. Rush,m,Democratic,"60,699",98.6
200,2012,Plymouth and Barnstable,Therese Murray,f,Democratic,"49,723",58.1
201,2012,Plymouth and Norfolk,"Robert L. Hedlund, Jr.",m,Republican,"61,686",68.3
202,2012,1st Plymouth and Bristol,Marc R. Pacheco,m,Democratic,"61,506",98.7
203,2012,2nd Plymouth and Bristol,Thomas P. Kennedy,m,Democratic,"53,717",99.4
204,2012,1st Suffolk,Jack Hart,m,Democratic,"54,191",98.3
205,2012,2nd Suffolk,Sonia Rosa Chang-DÍaz,f,Democratic,"54,886",98.6
206,2012,1st Suffolk and Middlesex,Anthony W. Petruccelli,m,Democratic,"45,230",81.3
207,2012,2nd Suffolk and Middlesex,William N. Brownsberger,m,Democratic,"45,852",76.1
208,2012,2nd Suffolk and Middlesex,William N. Brownsberger,m,Democratic,"4,581",93.9
209,2012,Worcester and Middlesex,Jennifer L. Flanagan,f,Democratic,"55,228",99.3
210,2012,Worcester and Norfolk,Richard T. Moore,m,Democratic,"59,561",95.3
211,2012,"Worcester, Hampden, Hampshire and Middlesex",Stephen M. Brewer,m,Democratic,"63,777",99.2
212,2012,1st Worcester,Harriette L. Chandler,f,Democratic,"52,477",98.2
213,2012,2nd Worcester,Michael O. Moore,m,Democratic,"48,609",67.8
