GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
620L200US25060,25060,"First Barnstable District (2010), Massachusetts",17949,434,979,255,581,150,782,198,791,175,1186,225,959,203,731,193,1288,240,770,173,1776,248,2020,286,2182,308,1769,289,830,236,744,166,561,119
620L200US25061,25061,"Second Barnstable District (2010), Massachusetts",18054,486,1410,307,896,196,836,191,807,194,1028,225,1258,329,1090,254,970,253,689,200,1479,259,1996,299,2439,370,1399,315,619,151,575,189,563,164
620L200US25062,25062,"Third Barnstable District (2010), Massachusetts",17442,534,654,177,618,159,622,179,806,194,425,124,892,226,764,225,957,228,718,160,1436,222,2358,287,2705,304,1724,238,932,213,872,188,959,179
620L200US25063,25063,"Fourth Barnstable District (2010), Massachusetts",18614,447,721,169,1046,252,916,260,984,212,665,175,950,188,813,205,1096,228,771,150,1631,289,1903,268,2574,286,1477,243,883,165,1170,199,1014,218
620L200US25064,25064,"Barnstable, Dukes & Nantucket District (2010); Massachusetts",15660,560,886,218,649,160,689,184,783,186,600,151,581,166,568,170,547,153,549,157,1013,193,1605,326,2264,279,1294,186,1215,251,1036,216,1381,191
620L200US25065,25065,"First Berkshire District (2010), Massachusetts",14623,383,1246,194,1240,197,978,191,849,166,851,160,838,161,837,178,821,148,548,119,1006,164,1573,197,1583,242,1092,177,435,97,443,111,283,91
620L200US25066,25066,"Second Berkshire District (2010), Massachusetts",16679,304,610,144,748,165,759,117,958,174,726,133,902,138,772,151,759,138,571,113,1432,207,2338,280,2599,198,1361,140,881,120,654,114,609,111
620L200US25067,25067,"Third Berkshire District (2010), Massachusetts",17216,436,1956,278,1470,253,939,216,1026,237,837,191,1253,207,719,160,878,247,793,178,1388,238,1834,296,1774,224,1031,200,537,164,359,100,422,142
620L200US25068,25068,"Fourth Berkshire District (2010), Massachusetts",15877,450,757,145,828,205,998,217,758,189,782,192,693,191,736,159,939,190,574,160,1526,244,1599,214,2396,274,1286,201,628,141,787,155,590,139
620L200US25069,25069,"First Bristol District (2010), Massachusetts",14015,384,284,123,295,107,403,146,544,191,331,127,516,183,469,142,322,110,460,163,989,209,1141,213,1917,265,1820,266,1473,228,1708,223,1343,200
