,Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0,620L500US25060,25060,1st Barnstable,19199,488,933,183,910,214,831,189,963,201,650,121,787,163,778,153,1329,249,954,211,1535,223,2304,313,2505,317,1511,227,1113,198,964,171,1132,208
1,620L500US25061,25061,2nd Barnstable,17857,520,834,190,992,229,865,189,907,189,641,171,727,183,771,168,806,233,610,144,1615,286,2289,313,2299,309,1540,233,998,182,923,204,1040,220
2,620L500US25062,25062,3rd Barnstable,18287,472,596,179,617,170,695,128,1048,197,829,160,881,165,691,163,849,192,677,163,1067,220,1859,231,2850,332,1965,289,1501,239,1131,191,1031,210
3,620L500US25063,25063,4th Barnstable,19014,480,901,193,1060,188,856,195,1104,218,847,152,1094,213,678,136,808,190,689,143,1182,185,2072,252,2703,304,1851,293,1002,180,1133,197,1034,144
4,620L500US25064,25064,"Barnstable, Dukes & Nantucket",16287,586,619,176,738,171,689,159,558,148,617,141,1027,247,475,132,526,141,577,159,1107,193,1433,228,2091,255,1787,318,1281,247,1226,192,1536,257
5,620L500US25065,25065,1st Berkshire,15909,375,1035,235,1086,193,1082,186,938,199,833,139,672,138,815,164,821,154,652,146,1289,207,1638,194,1969,202,1231,197,727,156,702,154,419,110
6,620L500US25066,25066,2nd Berkshire,18159,330,885,158,1085,165,984,199,907,155,826,159,907,149,1012,210,873,140,893,185,1512,210,2345,249,2378,246,1264,156,897,128,748,161,643,131
7,620L500US25067,25067,3rd Berkshire,17869,410,1388,299,1556,231,1262,212,1179,225,975,195,1074,208,748,150,840,167,783,169,1168,228,1692,268,2109,280,1129,195,808,186,641,163,517,160
8,620L500US25068,25068,4th Berkshire,16394,431,651,148,686,150,693,181,596,141,869,170,745,162,644,161,673,173,737,167,1482,223,1511,198,2178,206,1650,185,1083,201,864,140,1332,178
9,620L500US25069,25069,1st Bristol,13723,412,285,104,239,105,393,127,298,94,307,115,517,159,541,166,301,110,271,99,766,196,1275,238,1990,295,1867,278,1335,239,1697,252,1641,270
10,620L500US25070,25070,2nd Bristol,15352,466,547,176,1098,242,685,195,558,146,398,142,574,145,751,245,373,121,563,163,1160,272,1607,341,2069,265,1828,303,1150,228,1208,208,783,169
11,620L500US25071,25071,3rd Bristol,17050,413,1215,252,1086,210,664,172,882,228,654,180,793,202,799,176,879,178,885,272,1276,217,1841,315,2126,319,1540,220,706,151,1018,192,686,148
12,620L500US25072,25072,4th Bristol,14722,431,349,132,366,158,319,101,376,117,340,108,399,117,423,131,351,158,484,136,918,209,1502,274,2458,390,1817,323,1824,284,1657,296,1139,225
13,620L500US25073,25073,5th Bristol,16124,382,837,178,583,166,703,179,849,219,549,163,766,215,578,150,666,169,653,193,1041,239,1757,273,2347,348,1872,266,1207,226,980,192,736,204
14,620L500US25074,25074,6th Bristol,18251,429,1482,255,1562,253,1584,283,928,184,909,189,1093,237,940,232,720,209,832,217,1521,271,1545,239,2075,284,1468,265,678,130,565,133,349,84
15,620L500US25075,25075,7th Bristol,17245,459,2156,290,2435,378,1632,322,1248,236,996,253,833,155,883,183,1112,256,551,168,1136,199,1476,292,1504,294,577,149,327,122,177,106,202,108
16,620L500US25076,25076,8th Bristol,15302,449,639,172,890,194,661,156,877,236,738,150,651,151,802,233,469,103,502,133,1120,235,1272,223,2263,320,1691,289,980,205,1184,194,563,115
17,620L500US25077,25077,9th Bristol,14713,418,1064,200,1121,198,826,191,572,150,548,188,478,110,546,154,473,146,490,123,1004,231,1422,204,1933,254,1291,231,1084,218,927,194,934,213
18,620L500US25078,25078,10th Bristol,16089,376,902,184,1039,185,866,179,643,147,661,146,740,179,567,137,602,133,587,180,1160,218,1608,224,1919,249,1289,227,963,174,1417,213,1126,172
19,620L500US25079,25079,11th Bristol,15875,378,1301,219,1334,234,1008,176,1012,172,834,167,648,138,997,222,780,185,673,176,1273,237,1563,208,1835,263,1014,196,910,191,554,144,139,82
20,620L500US25080,25080,12th Bristol,14146,395,660,224,283,101,370,167,295,110,372,165,541,154,399,124,454,155,558,159,832,212,1287,260,2443,334,1843,290,1394,237,1362,221,1053,231
21,620L500US25081,25081,13th Bristol,17456,391,1916,278,2128,264,1301,205,987,213,1249,215,953,180,803,176,827,170,627,155,1475,243,1562,167,1522,245,1072,176,441,114,342,106,251,101
22,620L500US25082,25082,14th Bristol,14908,410,369,138,326,117,401,117,425,145,388,138,558,206,545,152,532,165,530,128,964,206,1182,265,2419,284,1755,250,1404,213,1447,240,1663,227
23,620L500US25083,25083,1st Essex,18353,410,814,192,683,199,694,187,573,168,589,124,622,149,532,167,541,142,764,164,1112,260,1975,282,2539,315,1811,242,1363,220,1920,247,1821,243
24,620L500US25084,25084,2nd Essex,16319,351,343,137,390,127,448,109,413,152,420,140,348,114,612,144,370,119,349,110,1020,230,1443,268,1963,263,1882,246,1666,270,2238,273,2414,326
25,620L500US25085,25085,3rd Essex,16157,361,861,212,1139,250,864,221,914,174,767,192,698,180,621,153,652,194,558,126,1339,274,1574,273,1991,323,1285,212,1054,179,1059,212,781,166
26,620L500US25086,25086,4th Essex,16289,376,551,192,632,147,611,141,524,141,364,120,468,154,541,139,401,137,259,100,1045,220,1234,238,2019,283,1383,239,1130,235,1996,244,3131,299
27,620L500US25087,25087,5th Essex,17305,335,841,145,873,169,834,168,818,154,600,147,633,149,800,154,764,166,537,107,1209,207,1610,185,2103,231,1752,233,1336,206,1205,183,1390,161
28,620L500US25088,25088,6th Essex,16229,365,627,156,969,211,728,174,565,147,715,169,683,223,533,152,456,157,522,148,980,198,1434,242,2198,278,1639,251,1131,206,1351,198,1698,229
29,620L500US25089,25089,7th Essex,18070,455,1296,335,1333,287,977,198,966,190,735,222,517,141,571,170,538,139,619,195,1313,245,2121,309,2434,324,1902,260,981,188,960,195,807,215
30,620L500US25090,25090,8th Essex,16484,367,858,189,660,184,493,114,363,111,542,152,575,170,361,128,498,117,521,134,702,173,1221,211,2069,259,1651,264,1407,234,1630,229,2933,298
31,620L500US25091,25091,9th Essex,16124,361,678,162,561,183,373,157,430,135,557,160,395,130,385,119,391,120,334,108,846,154,1766,292,2348,277,2174,336,1574,239,1841,226,1471,233
32,620L500US25092,25092,10th Essex,14067,397,1208,190,927,189,845,170,516,126,630,153,785,207,740,156,739,154,389,110,1136,209,1414,270,1800,274,1135,218,606,162,740,207,457,167
33,620L500US25093,25093,11th Essex,14778,341,1691,258,1440,231,709,170,798,155,707,159,608,161,865,160,595,157,453,136,1010,189,1168,192,1533,222,1100,199,832,177,901,162,368,110
34,620L500US25094,25094,12th Essex,17535,400,1057,219,966,258,806,205,845,217,799,188,761,235,515,181,774,195,684,173,1703,359,1741,303,2228,320,1805,311,1069,216,932,191,850,184
35,620L500US25095,25095,13th Essex,16213,425,598,202,608,180,482,151,493,193,549,160,585,165,611,163,518,182,400,143,987,211,1539,253,2188,302,1827,252,1424,239,1906,236,1498,235
36,620L500US25096,25096,14th Essex,16541,389,792,193,612,196,590,176,649,175,685,213,631,184,770,208,640,213,626,188,1171,252,1531,260,2475,336,1692,260,999,215,1471,223,1207,209
37,620L500US25097,25097,15th Essex,15943,383,715,181,567,155,503,138,539,143,655,187,586,138,408,121,499,150,507,152,1055,171,1790,289,2289,302,1893,236,1593,220,1342,179,1002,148
38,620L500US25098,25098,16th Essex,14065,486,1772,303,1303,202,972,186,958,182,718,213,1111,242,850,207,552,152,616,189,837,202,1420,253,1549,258,713,188,273,108,319,109,102,62
39,620L500US25099,25099,17th Essex,14401,378,1707,308,1197,243,981,200,694,176,714,171,668,158,517,149,525,149,528,125,806,183,1287,222,1396,236,789,162,671,187,893,170,1028,161
40,620L500US25100,25100,1st Franklin,17425,299,755,161,651,134,976,170,906,156,590,103,861,167,747,127,632,100,670,118,1334,182,1666,221,2863,225,1619,196,1179,161,1086,189,890,131
41,620L500US25101,25101,2nd Franklin,16779,359,975,220,1107,219,1095,244,764,147,766,157,723,161,872,193,738,158,609,121,1332,216,1645,227,2532,299,1602,228,1108,252,541,126,370,106
42,620L500US25102,25102,1st Hampden,16352,419,616,169,785,262,770,192,995,222,601,149,849,204,765,220,559,154,628,188,1361,300,1297,260,2178,243,1810,294,1205,236,1070,196,863,206
