GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
610U200US25020,25020,"Berkshire, Hampshire & Franklin District (2010); Massachusetts",63402,744,4413,403,4261,387,3625,294,3577,361,3187,346,3564,374,2987,304,3216,342,2591,344,5065,378,7104,499,8014,478,4735,338,2437,302,2539,246,2087,249
610U200US25021,25021,"First Bristol & Plymouth District (2010), Massachusetts",65703,805,5607,562,5115,586,3782,456,3762,375,3272,448,3293,368,3306,391,2673,387,2126,320,5044,511,6304,528,8360,531,5561,439,3082,291,2553,362,1863,252
610U200US25022,25022,"Second Bristol & Plymouth District (2010), Massachusetts",63686,836,5752,425,5253,507,4238,395,3794,418,2926,328,2975,359,2638,360,2516,331,2581,315,5106,524,6019,501,8104,503,4724,363,2861,341,2764,326,1435,208
610U200US25023,25023,"Cape & Islands District (2010), Massachusetts",71596,1250,3997,524,3275,435,3210,391,3199,391,3376,450,3413,385,3131,415,3719,407,3164,368,5843,543,7386,573,10292,658,6554,435,3526,410,3797,337,3714,305
610U200US25024,25024,"First Essex District (2010), Massachusetts",66783,647,3231,342,3240,303,2662,328,2789,293,2281,308,2914,411,2621,372,2298,323,2644,370,4723,477,6394,509,9696,545,7087,497,4892,404,5200,443,4111,372
610U200US25025,25025,"Second Essex District (2010), Massachusetts",66179,760,3563,468,3653,385,2500,298,2733,327,2959,399,2520,338,2422,300,2427,287,2483,350,5054,472,6812,570,9238,651,6420,531,4695,470,4812,438,3888,344
610U200US25026,25026,"Third Essex & Middlesex District (2010), Massachusetts",59126,732,5039,514,3622,423,2353,355,2585,395,2581,337,2714,361,2448,342,2300,345,2212,351,3924,396,5462,457,7353,566,5416,427,3738,377,3537,357,3842,326
610U200US25027,25027,"First Essex & Middlesex District (2010), Massachusetts",62268,821,2071,291,2017,344,1972,301,1794,276,1811,305,2304,328,1661,241,1841,270,1787,278,3904,412,5240,425,8598,535,7460,511,5719,506,6710,482,7379,523
610U200US25028,25028,"Second Essex & Middlesex District (2010), Massachusetts",60820,887,5084,485,3622,481,3630,423,2742,385,2996,398,2577,436,1762,309,2365,370,2302,375,4064,419,5287,487,7307,573,5336,484,3557,373,4336,407,3853,360
