,Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0,610U300US25001,25001,First Suffolk,61666,831,6451,528,4166,420,3418,419,2429,326,2435,290,2400,326,2232,346,2435,304,2842,423,4680,424,5506,551,7433,587,5176,528,3694,416,3674,390,2695,352
1,610U300US25002,25002,Second Suffolk,63426,821,9420,533,5568,457,3662,411,2965,450,2350,359,2682,364,2308,306,2675,336,2224,329,4031,386,5001,500,5724,489,4644,436,3063,402,3105,324,4004,372
2,610U300US25003,25003,Hampden,59040,807,8614,605,5966,456,5399,488,4045,454,3302,366,3761,406,3043,447,2684,352,2271,311,3694,468,5151,509,5222,517,3080,313,1178,235,1006,220,624,138
3,610U300US25004,25004,"Berkshire, Hampshire, Franklin & Hampden",65730,696,4148,388,4530,399,4168,446,3641,386,3392,327,3612,430,2898,318,3381,394,2719,291,5253,451,6794,425,8345,445,4868,362,3099,327,2524,250,2358,237
4,610U300US25005,25005,Second Hampden & Hampshire,62509,735,4647,459,4448,518,4200,519,3223,395,2733,316,2514,280,2645,374,2351,336,2743,323,4866,454,5699,529,9091,580,5218,411,3395,377,2935,341,1801,272
5,610U300US25006,25006,"Hampshire, Franklin & Worcester",58048,682,3298,415,3823,429,2980,313,2632,311,2495,325,3053,372,2661,385,2630,273,2342,323,4660,369,6083,451,8139,453,4658,368,3273,367,2709,302,2612,290
6,610U300US25007,25007,First Hampden & Hampshire,61809,648,2609,341,2877,398,2905,374,2330,329,2782,335,2504,303,2342,323,2735,346,2203,293,4709,452,6154,400,9160,484,6821,583,4405,425,4121,423,3152,341
7,610U300US25008,25008,"Worcester, Hampden, Hampshire & Middlesex",62240,732,2992,371,3056,370,2768,387,2704,343,2353,325,2968,344,2525,304,2500,289,2277,311,4782,386,6087,532,9155,611,7048,451,4362,415,4245,412,2418,296
8,610U300US25009,25009,Worcester & Middlesex,60527,890,3900,467,3387,317,3100,373,2712,330,2504,344,2897,342,2394,323,2288,336,1972,309,4015,435,6534,591,8885,653,5895,458,3675,341,4086,397,2283,238
9,610U300US25010,25010,First Worcester,63505,786,5167,543,4513,434,3619,399,3135,387,2566,313,2733,332,2647,393,2611,293,2420,284,4125,407,6556,603,6983,482,5176,426,4004,362,3952,414,3298,327
10,610U300US25011,25011,Second Worcester,63993,807,3048,377,2850,376,2660,352,2754,427,2698,393,2711,424,2228,337,2445,346,2359,367,5088,415,6091,488,8888,635,6640,519,4365,402,5322,405,3846,312
11,610U300US25012,25012,Worcester & Norfolk,62009,671,2244,355,2457,380,2943,346,2380,370,2544,356,2875,383,2303,371,2359,338,2353,324,4516,425,6621,648,8957,502,6794,528,4345,470,5125,428,3193,409
12,610U300US25013,25013,First Middlesex,60235,734,4081,416,3420,381,2470,302,2745,375,2375,331,2372,353,2086,339,2198,355,2177,337,4618,457,6024,575,7571,527,5105,434,3885,374,4883,432,4225,330
13,610U300US25014,25014,Middlesex & Worcester,65476,864,1938,361,2138,344,2215,346,2538,349,2023,328,1803,273,1981,346,2665,403,1698,306,3704,455,5567,552,7975,614,7135,624,5594,466,7397,565,9105,492
14,610U300US25015,25015,Second Middlesex & Norfolk,60393,814,2474,331,2196,376,2329,372,1959,293,1952,312,1997,361,1886,318,1769,324,1669,295,3350,436,5209,538,7201,522,6871,527,5468,437,7196,491,6867,408
15,610U300US25016,25016,Third Middlesex,63704,788,2395,388,2036,291,1787,270,2024,324,1586,293,1775,292,1421,257,1979,310,1914,336,3004,408,4325,422,7821,545,6484,489,5453,449,7710,512,11990,494
16,610U300US25017,25017,"Norfolk, Bristol & Middlesex",57016,715,1838,263,1775,338,1691,249,1600,339,1353,262,1280,204,1633,273,1681,275,1661,273,3521,465,4549,451,6475,492,6537,523,4728,394,7058,557,9636,549
17,610U300US25018,25018,Second Essex & Middlesex,60580,768,4390,431,3940,452,3723,342,2598,344,2625,372,2764,389,2011,344,2140,297,1822,274,3576,408,5562,477,7365,471,5405,400,3699,412,4519,441,4441,325
18,610U300US25019,25019,First Essex,67301,784,3130,404,3209,379,2843,307,2923,385,2479,411,3116,403,2804,436,2201,343,2461,325,4682,437,6598,500,9472,721,6980,479,5086,411,5343,465,3974,391
19,610U300US25020,25020,First Essex & Middlesex,62301,725,2108,331,1946,306,1788,250,1890,271,1636,280,2205,332,1905,258,1695,272,1573,264,3786,469,4860,463,8221,637,7189,491,6121,502,6950,477,8428,541
20,610U300US25021,25021,Second Essex,67665,767,3488,389,3630,393,3069,408,2869,364,2606,396,2773,344,2489,353,2390,327,2486,375,4850,410,7024,547,9523,650,6666,489,4713,468,4885,446,4204,393
21,610U300US25022,25022,Third Essex,62790,648,4473,481,3657,400,2714,360,2922,351,2751,320,2716,283,2507,329,2348,341,2011,299,3988,382,5563,528,7951,578,6031,557,3839,429,4676,401,4643,428
22,610U300US25023,25023,Fifth Middlesex,66290,758,3318,421,2675,394,2430,339,2442,354,2475,372,2345,396,2021,274,2529,388,2014,355,4685,461,6384,558,8692,603,7139,514,5419,445,6847,552,4875,405
