kasdjfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
610U400US25001,25001,"First Suffolk District (2014), Massachusetts",64240,764,6330,586,4678,488,3413,368,2877,332,2331,322,2337,285,2431,376,2594,409,2073,300,4406,418,6127,532,7129,594,5333,432,3997,362,4219,408,3965,365
610U400US25002,25002,"Second Suffolk District (2014), Massachusetts",65713,818,10186,600,5834,509,3665,391,3302,360,2638,344,2613,324,2318,309,2373,342,2057,288,4082,404,4588,481,6049,459,4475,406,3341,378,3439,358,4753,428
610U400US25003,25003,"Hampden District (2014), Massachusetts",58494,760,8085,666,6410,547,5135,423,3882,432,3329,372,3348,356,3241,420,2513,354,2369,404,3764,403,5011,432,4837,459,3236,381,1258,225,1306,266,770,137
610U400US25004,25004,"Berkshire, Hampshire, Franklin & Hampden District (2014); Massachusetts",65516,692,3917,362,4114,411,3807,344,3783,377,3308,335,3409,376,3006,306,3177,316,3001,331,5158,395,6847,409,8091,435,5227,323,3103,285,2875,287,2693,284
610U400US25005,25005,"Second Hampden & Hampshire District (2014), Massachusetts",61949,685,3892,421,4021,448,3576,404,3516,359,2766,367,2841,335,2669,383,2470,336,2342,294,5043,449,6152,478,8175,632,5554,471,3354,401,3487,310,2091,281
610U400US25006,25006,"Hampshire, Franklin & Worcester District (2014); Massachusetts",58162,686,4082,460,3588,392,3147,347,2685,291,2538,315,2895,303,2654,298,2314,276,2187,287,4440,329,5950,407,7902,604,4979,411,3303,334,2863,280,2635,271
610U400US25007,25007,"First Hampden & Hampshire District (2014), Massachusetts",61684,785,2534,326,2869,383,2861,371,2303,321,2865,327,2662,404,2137,292,2524,348,2107,307,4433,357,5839,478,9108,598,6794,573,4402,424,4568,493,3678,391
610U400US25008,25008,"Worcester, Hampden, Hampshire & Middlesex District (2014); Massachusetts",62725,865,2542,332,2852,403,3076,412,2851,400,2311,343,2732,283,2646,361,2571,359,2264,290,4973,417,6130,416,9033,616,7076,524,4755,432,3831,391,3082,312
610U400US25009,25009,"Worcester & Middlesex District (2014), Massachusetts",60928,674,3525,444,3568,379,3152,362,3025,372,2326,304,3033,390,2395,338,2208,308,2109,306,4120,398,6569,510,8287,438,6291,441,3557,363,3848,360,2915,327
610U400US25010,25010,"First Worcester District (2014), Massachusetts",62924,841,5604,491,4264,407,3297,422,3019,343,2510,402,2801,354,2360,305,2321,306,2552,353,4395,429,6288,465,7085,491,5183,428,3729,337,3877,319,3639,315
610U400US25011,25011,"Second Worcester District (2014), Massachusetts",64752,725,3603,364,2854,359,2739,398,2804,361,2834,370,2995,430,2306,335,2314,320,2263,349,5072,416,5661,496,8286,548,6301,523,4657,390,5186,394,4877,351
610U400US25012,25012,"Worcester & Norfolk District (2014), Massachusetts",62039,782,2328,326,2604,334,2902,330,2279,268,2428,335,2854,313,2124,320,2217,277,2172,310,4426,422,6264,564,8578,574,7233,579,4232,387,5624,503,3774,319
610U400US25013,25013,"First Middlesex District (2014), Massachusetts",60034,721,4108,451,3641,415,2746,315,2578,378,2309,369,2528,377,2024,289,1952,283,2059,278,4496,470,5323,490,7269,509,5696,426,3923,304,4951,351,4431,379
610U400US25014,25014,"Middlesex & Worcester District (2014), Massachusetts",65967,802,1952,345,2141,354,2125,288,2260,322,1861,296,1807,336,1655,313,2118,309,1624,268,3686,368,5703,414,7853,546,7211,532,6171,534,7738,538,10062,514
610U400US25015,25015,"Second Middlesex & Norfolk District (2014), Massachusetts",61782,824,2498,322,2174,315,2229,355,2197,315,1956,327,1858,296,2081,368,1775,281,1493,261,3374,349,4863,458,7294,575,7120,528,5410,517,7318,394,8142,486
610U400US25016,25016,"Third Middlesex District (2014), Massachusetts",65639,808,2848,375,1872,304,1886,352,1770,260,1566,300,1730,315,1560,263,1982,293,1559,283,3430,353,4480,411,7519,456,6742,473,5634,435,8041,559,13020,517
610U400US25017,25017,"Norfolk, Bristol & Middlesex District (2014); Massachusetts",58072,691,1858,298,1809,279,1489,244,1638,274,1242,219,1484,270,1504,242,1384,226,1743,335,3104,349,4356,438,6770,536,6439,493,5033,456,7485,486,10734,508
610U400US25018,25018,"Second Essex & Middlesex District (2014), Massachusetts",60893,801,4389,505,3534,371,3352,396,2389,321,2457,330,2906,324,2144,282,1966,295,2087,357,3822,493,5584,551,6990,530,5420,515,3731,413,4995,420,5127,339
610U400US25019,25019,"First Essex District (2014), Massachusetts",68020,834,3056,378,3094,370,2820,390,2772,308,2770,345,2805,352,2534,335,2602,356,2420,314,4497,387,7067,573,9463,677,6925,560,5239,418,5476,500,4480,348
610U400US25020,25020,"First Essex & Middlesex District (2014), Massachusetts",63623,843,2220,306,1943,299,1940,303,2122,283,1614,265,1924,255,1991,242,1789,262,1421,229,4050,369,4971,401,7485,470,7020,471,5648,432,7897,584,9588,568
610U400US25021,25021,"Second Essex District (2014), Massachusetts",68470,833,3476,420,3652,390,3271,370,2963,344,2665,329,2627,329,2570,326,2348,363,2396,325,4856,443,6799,512,9470,662,6914,502,4693,433,5068,407,4702,371
610U400US25022,25022,"Third Essex District (2014), Massachusetts",62144,822,4151,429,3519,299,2792,343,2488,376,2644,330,2433,279,2334,306,2302,281,1984,260,3559,398,5852,506,7377,468,6194,474,4098,375,5091,529,5326,350
610U400US25023,25023,"Fifth Middlesex District (2014), Massachusetts",66442,933,3353,406,2915,427,2391,333,2217,318,2164,395,2406,305,2261,345,2735,402,1942,332,4296,426,6182,521,8688,649,6930,533,5229,478,6728,499,6005,420
610U400US25024,25024,"Fourth Middlesex District (2014), Massachusetts",64579,795,2194,312,1719,256,1767,286,2129,300,1715,273,2013,297,1675,269,1861,287,1327,214,4056,392,4932,448,8409,619,7721,506,6390,515,7756,463,8915,474
610U400US25025,25025,"Second Middlesex District (2014), Massachusetts",72165,974,4113,476,2806,318,2490,335,2432,363,2229,380,2293,356,2146,400,2199,340,2411,361,5350,467,6029,514,9329,618,8178,562,5596,416,6882,488,7682,451
610U400US25026,25026,"Middlesex & Suffolk District (2014), Massachusetts",67463,906,5465,474,4670,510,3202,372,2836,311,2439,341,3107,393,2363,331,2388,357,2466,341,4569,411,5875,480,7801,526,6325,484,3890,414,4293,369,5774,338
610U400US25027,25027,"First Suffolk & Middlesex District (2014), Massachusetts",71854,868,6211,597,3926,367,3338,381,3287,449,2865,411,2785,350,2701,361,2771,335,2600,305,5661,565,6221,553,8560,624,6508,546,4090,393,4602,425,5728,430
610U400US25028,25028,"Second Suffolk & Middlesex District (2014), Massachusetts",67418,966,8569,600,3750,410,2418,337,2277,311,2008,320,1976,273,1709,258,2273,343,1977,242,4610,458,6282,461,7154,526,6100,481,3964,375,4870,387,7481,437
610U400US25029,25029,"First Middlesex & Norfolk District (2014), Massachusetts",62444,740,3432,402,1685,262,1481,228,1719,284,1669,261,1410,251,1410,280,1188,242,1408,227,2494,327,3972,484,5980,475,5909,438,5054,493,6875,489,16758,624
610U400US25030,25030,"Norfolk & Suffolk District (2014), Massachusetts",62686,630,2767,357,2629,335,2568,332,1584,279,1682,225,1997,283,1751,241,2226,280,2032,361,3152,404,5407,455,7724,575,6956,491,4817,399,6634,546,8760,464
610U400US25031,25031,"Bristol & Norfolk District (2014), Massachusetts",56598,692,1404,213,1827,298,1792,295,1624,282,1554,295,1610,279,1709,312,1516,283,1854,267,3558,441,4787,431,8030,623,6746,570,5120,433,6017,420,7450,387
610U400US25032,25032,"Norfolk, Bristol & Plymouth District (2014); Massachusetts",58220,665,1954,315,2322,370,1884,324,1776,267,1863,352,1874,330,1907,358,1841,338,1527,266,3986,465,4985,447,7055,614,6623,550,5334,431,6328,414,6961,427
610U400US25033,25033,"Norfolk & Plymouth District (2014), Massachusetts",65444,899,3537,455,2827,349,2498,322,2568,345,2836,407,3060,392,2177,352,2224,329,2244,345,4770,514,6461,601,9500,674,7714,654,4267,424,5208,472,3553,410
610U400US25034,25034,"Plymouth & Norfolk District (2014), Massachusetts",64199,702,2064,298,1975,317,2067,302,2090,322,2412,378,2560,417,1971,298,1959,329,1974,295,3491,406,5530,525,7720,557,7037,613,5479,511,6528,416,9342,546
610U400US25035,25035,"Second Plymouth & Bristol District (2014), Massachusetts",56322,822,3543,404,2990,341,2673,318,2828,378,2045,293,2388,307,2333,344,2350,304,2199,320,4082,416,5607,407,7956,593,5497,378,3413,321,4097,306,2321,276
610U400US25036,25036,"First Plymouth & Bristol District (2014), Massachusetts",63254,726,3127,364,3077,397,2310,347,2607,372,2484,412,2752,359,2382,365,2688,330,2469,368,4637,500,6054,530,9815,597,6446,481,4695,466,4496,432,3215,380
610U400US25037,25037,"First Bristol & Plymouth District (2014), Massachusetts",66480,753,5307,439,5328,586,4328,500,3619,427,3039,332,3425,415,2957,403,2654,372,2646,358,4711,466,6056,480,7915,632,5683,473,3497,391,3166,342,2149,242
610U400US25038,25038,"Second Bristol & Plymouth District (2014), Massachusetts",63197,846,5220,417,5499,473,4150,371,3443,322,3296,303,3069,346,3091,396,2689,302,2437,336,4992,513,6017,465,7028,563,4546,456,3069,356,2982,369,1669,254
610U400US25039,25039,"Plymouth & Barnstable District (2014), Massachusetts",62322,737,2162,320,2153,314,2263,340,2419,339,2263,308,2473,371,2240,336,2275,356,2019,271,4347,444,5940,504,8961,611,7314,577,5527,528,5638,528,4328,448
