,Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0,620L300US25060,25060,1st Barnstable District ,19480,507,1391,288,1140,264,936,216,777,174,898,221,954,204,1025,197,1137,255,1061,217,1587,240,1927,311,2425,298,1579,217,944,212,972,202,727,158
1,620L300US25061,25061,2nd Barnstable District ,18524,533,1226,262,1045,232,855,188,982,241,966,222,779,246,760,200,823,204,657,193,1582,275,2348,357,2408,283,1472,244,1027,206,769,186,825,184
2,620L300US25062,25062,3rd Barnstable District ,18138,445,625,186,892,209,850,182,802,160,721,169,791,163,904,203,1142,246,675,181,1439,242,2006,280,2916,356,1864,279,847,160,847,178,817,156
4,620L300US25064,25064,"Barnstable, Dukes & Nantucket District ",16518,557,846,189,744,162,759,205,707,175,745,190,722,192,455,140,555,149,636,158,1060,191,1343,219,2611,327,1689,249,1205,219,1266,220,1175,140
8,620L300US25068,25068,4th Berkshire District ,16271,395,934,187,691,151,925,183,692,145,898,164,769,160,652,130,664,149,774,163,1477,237,1553,177,2096,218,1481,204,865,152,790,143,1010,171
9,620L300US25069,25069,1st Bristol District ,14244,350,297,125,394,132,347,119,661,179,319,122,486,151,466,136,439,144,520,173,881,255,1210,231,2035,288,2036,256,1237,236,1489,232,1427,214
10,620L300US25070,25070,2nd Bristol District ,14976,374,523,168,993,258,733,167,582,154,329,133,469,166,658,212,722,175,612,182,1483,290,1654,335,1926,262,1682,266,941,190,1090,232,579,169
11,620L300US25071,25071,3rd Bristol District ,16319,369,1056,235,1100,232,791,176,906,207,700,221,864,227,754,194,1019,246,895,234,1410,241,1521,283,1786,254,1545,240,720,156,743,171,509,135
12,620L300US25072,25072,4th Bristol District ,13992,371,343,140,294,109,473,132,445,151,506,114,385,106,465,196,457,182,566,149,827,182,1568,287,1903,290,1832,276,1473,225,1397,232,1058,197
20,620L300US25080,25080,12th Bristol District ,13469,443,599,188,409,137,241,96,472,127,370,119,489,171,472,155,219,85,586,168,857,182,1490,226,2183,302,1774,284,1364,231,1082,225,862,171
22,620L300US25082,25082,14th Bristol District ,14439,430,339,117,416,150,431,125,567,196,543,146,444,152,555,126,589,171,458,139,1169,248,1324,243,1898,314,1590,256,1285,210,1606,231,1225,178
23,620L300US25083,25083,1st Essex District ,17424,369,859,191,645,153,671,169,673,194,520,148,503,144,601,165,571,177,518,128,1126,214,1716,265,2615,349,1679,206,1385,191,1666,222,1676,225
24,620L300US25084,25084,2nd Essex District ,15643,360,243,91,399,143,337,115,411,145,349,113,569,148,438,123,347,101,436,134,1161,242,1093,226,2204,270,2022,273,1790,288,1961,281,1883,274
26,620L300US25086,25086,4th Essex District ,16077,380,446,157,593,162,519,166,425,132,441,118,579,160,543,172,523,183,297,137,827,208,1271,251,1851,250,1746,215,1546,247,1667,235,2803,276
27,620L300US25087,25087,5th Essex District ,16594,339,1014,198,703,158,738,152,749,177,643,182,758,187,883,174,525,129,594,161,1318,225,1646,222,2246,309,1659,243,908,190,1100,172,1110,156
31,620L300US25091,25091,9th Essex District ,16153,422,730,223,577,165,414,166,434,139,822,187,440,133,428,146,650,181,353,92,821,187,1935,342,2459,368,1871,280,1298,215,1733,273,1188,208
35,620L300US25095,25095,13th Essex District ,15771,472,475,192,581,149,508,155,498,155,586,175,547,138,516,144,481,159,392,128,1030,201,1678,283,2338,339,1869,267,1573,272,1464,239,1235,217
36,620L300US25096,25096,14th Essex District ,16450,454,856,238,803,224,565,168,597,169,728,226,835,188,876,206,881,260,429,138,1189,265,1627,244,2111,293,1408,219,1033,209,1435,256,1077,196
42,620L300US25102,25102,1st Hampden District ,16783,413,829,218,886,253,825,221,842,218,733,174,1109,250,739,179,729,153,520,138,1482,233,1501,238,2181,260,1536,227,969,174,1255,202,647,159
44,620L300US25104,25104,3rd Hampden District ,15727,332,684,168,682,170,840,207,728,199,573,141,576,166,633,155,446,110,800,218,1138,217,1559,281,2645,331,1683,260,1145,224,1065,198,530,153
45,620L300US25105,25105,4th Hampden District ,15028,458,733,201,828,166,1006,215,657,172,782,204,643,170,614,171,459,160,551,145,1301,265,1208,216,2349,371,1354,259,992,178,849,167,702,131
46,620L300US25106,25106,5th Hampden District ,15846,462,2405,290,2012,350,1458,283,1002,223,753,172,643,150,713,165,687,210,669,168,1002,180,1218,254,1442,228,858,174,321,107,411,144,252,92
49,620L300US25109,25109,8th Hampden District ,16587,484,1094,216,959,207,1196,235,715,157,774,178,1183,261,896,206,1095,216,770,169,1586,225,1745,273,2243,313,1323,250,618,171,273,106,117,63
54,620L300US25114,25114,18th Essex District ,14210,319,251,91,159,70,281,108,304,108,325,105,287,110,263,102,232,81,177,75,495,131,885,197,1621,229,1721,248,1275,164,2500,302,3434,247
55,620L300US25115,25115,1st Hampshire District ,16360,389,855,203,941,204,661,130,744,156,588,158,943,186,536,163,744,149,646,197,1204,188,1730,243,1975,275,1742,251,1104,208,1077,168,870,160
56,620L300US25116,25116,2nd Hampshire District ,17696,357,644,178,1024,247,727,197,734,191,692,184,720,188,763,247,852,205,773,215,1487,244,2060,325,3135,358,1757,290,990,194,729,152,609,156
58,620L300US25118,25118,1st Middlesex District ,15239,341,489,143,481,158,458,152,391,125,373,118,439,106,453,185,403,123,381,98,890,223,1578,260,2185,236,1942,268,1467,214,1856,257,1453,198
62,620L300US25122,25122,5th Middlesex District ,16855,390,534,158,462,118,423,122,450,129,380,105,581,155,607,191,402,148,466,152,1058,211,1353,199,1679,253,2210,300,1451,211,2068,243,2731,249
70,620L300US25130,25130,13th Middlesex District ,15552,396,455,137,328,107,534,191,466,163,331,142,226,90,431,156,472,184,318,170,828,229,1067,209,1551,263,1403,239,1189,205,2239,312,3714,311
76,620L300US25136,25136,19th Middlesex District ,14372,325,348,109,340,129,539,159,412,96,357,107,441,126,365,117,509,151,338,98,779,224,1334,277,2232,369,1947,270,1531,216,1758,286,1142,226
77,620L300US25137,25137,20th Middlesex District ,14812,395,330,130,344,110,346,117,360,110,340,168,448,169,297,114,248,91,277,116,642,183,785,154,2112,293,1843,241,1629,257,2230,268,2581,307
78,620L300US25138,25138,21st Middlesex District ,15380,394,408,135,355,133,275,100,422,128,365,128,353,121,525,147,332,122,535,186,1100,254,1172,239,1873,262,1934,279,1565,230,2083,261,2083,249
79,620L300US25139,25139,22nd Middlesex District ,14276,397,221,102,332,120,401,141,481,141,429,139,505,138,389,161,442,166,377,112,1109,234,1304,217,2286,268,2185,259,1586,240,1471,253,758,169
95,620L300US25155,25155,18th Worcester District ,15732,383,668,152,631,208,856,202,766,188,625,159,677,207,616,188,592,157,506,158,1161,199,1465,249,1987,321,1798,268,1100,237,1454,239,830,184
