,Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1,610U200US25021,25021,First Bristol & Plymouth ,65690,799,5645,527,5154,562,3928,394,3982,389,3063,414,3297,462,3305,373,2646,393,2365,291,5367,518,6133,453,8383,532,5566,489,3057,296,2282,284,1517,222
3,610U200US25023,25023,Cape & Islands ,72921,1019,3898,507,3141,432,3084,411,3416,407,3477,403,3915,453,3419,434,4284,466,2867,342,6132,494,7938,484,10340,769,6305,535,3528,449,3498,379,3679,328
4,610U200US25024,25024,First Essex ,65965,781,3334,363,3326,436,2678,324,2734,381,2351,302,2893,348,2511,330,2560,315,2403,352,4960,434,6686,563,9018,559,7488,584,4660,384,4690,490,3673,377
5,610U200US25025,25025,Second Essex ,65607,962,3804,395,3505,417,2562,359,2672,375,2551,328,2852,348,2142,302,2204,327,2452,373,5166,479,7193,550,8891,530,6748,533,4570,386,4691,404,3604,384
7,610U200US25027,25027,First Essex & Middlesex ,61876,709,2006,334,2106,293,2141,338,1928,270,1806,275,2477,385,1627,297,1977,259,1780,277,3922,410,5287,408,8856,584,7530,501,5165,426,6341,472,6927,495
8,610U200US25028,25028,Second Essex & Middlesex ,59803,861,5625,543,3482,402,3199,389,2697,432,2886,370,2082,323,1671,282,2521,324,2030,335,4308,439,6071,547,6677,518,5560,468,3520,384,3810,376,3664,332
11,610U200US25031,25031,Second Hampden & Hampshire ,62443,914,6273,596,4843,503,3670,495,3466,403,2868,415,2868,384,2967,377,3008,385,2787,357,4697,490,5953,455,8132,556,5201,406,2443,273,1919,223,1348,209
13,610U200US25033,25033,First Middlesex ,58504,886,4022,481,3212,446,2620,365,2422,375,1852,274,2241,372,2144,340,2714,435,2076,337,4524,491,6255,490,8044,584,5075,483,3590,330,4290,375,3423,308
16,610U200US25036,25036,Fourth Middlesex ,62335,729,1952,319,1763,275,1604,248,1590,249,1509,279,1729,251,1973,357,2180,248,1950,265,4193,431,6249,506,9948,566,8238,578,5758,412,6003,389,5696,437
22,610U200US25042,25042,Middlesex & Worcester ,64032,802,2301,328,2508,345,1544,266,2101,277,2092,286,1586,270,2213,361,2162,347,1954,277,3235,407,5797,531,8026,547,7495,560,5909,479,6603,485,8506,518
23,610U200US25043,25043,"Norfolk, Bristol & Middlesex ",60273,725,1944,313,1769,291,1437,247,1553,271,1696,250,1826,252,1591,277,1872,253,1629,300,3949,398,5221,469,7623,505,7370,570,5169,434,6418,463,9206,426
24,610U200US25044,25044,"Norfolk, Bristol & Plymouth ",57476,828,2592,347,2123,334,2077,298,2299,349,1739,305,1663,246,1788,267,1923,289,1798,294,3484,359,5211,482,8707,550,6862,573,4498,387,5766,450,4946,409
25,610U200US25045,25045,Norfolk & Plymouth ,66593,919,3538,423,3332,404,2821,397,2551,304,2468,384,2864,368,2562,371,2987,378,2692,387,5476,525,7325,572,9889,583,7486,510,4055,394,3949,403,2598,303
26,610U200US25046,25046,Bristol & Norfolk ,57192,752,1613,268,1695,269,1804,256,1823,244,1326,248,1979,283,1739,249,1876,290,1996,262,3940,410,5148,437,7597,494,7142,542,5298,432,6277,469,5939,404
27,610U200US25047,25047,Plymouth & Barnstable ,67376,816,2632,399,2512,361,2650,360,2287,291,2116,285,2640,333,2581,421,2549,327,2271,289,4901,476,8042,636,10492,629,7669,600,5239,494,4985,487,3810,369
28,610U200US25048,25048,First Plymouth & Bristol ,61631,983,3022,377,2557,367,2671,354,2469,311,2216,298,2481,370,2000,296,3167,438,2646,364,5189,569,6300,534,9567,600,7819,599,4047,411,3811,412,1669,283
29,610U200US25049,25049,Second Plymouth & Bristol ,55591,852,3428,370,2998,375,2464,328,2341,337,2431,334,2434,321,2236,371,2066,298,2368,299,3855,360,6254,540,9067,527,5125,449,3629,384,3091,352,1804,229
30,610U200US25050,25050,Plymouth & Norfolk ,62845,739,2407,318,2008,311,1843,319,2106,332,1824,318,2031,330,2239,315,2301,268,1909,290,4301,438,6413,514,7840,551,7334,505,5169,415,5726,432,7394,445
35,610U200US25055,25055,First Worcester ,63138,951,5786,518,3627,487,2810,388,3005,396,2621,353,2856,357,2780,342,2741,327,2063,333,4222,486,6210,495,8074,582,5772,443,4152,338,3341,333,3078,345
36,610U200US25056,25056,Second Worcester ,65215,848,3672,371,3380,364,2555,361,3117,431,2034,274,3313,474,2619,398,2760,386,2379,302,5006,494,6775,608,9272,582,6226,553,4568,411,4587,403,2952,328
38,610U200US25058,25058,Worcester & Middlesex ,59156,906,4222,462,3085,389,2906,343,2929,399,2643,347,2464,316,2433,310,2168,271,2030,251,4526,497,6460,484,8300,577,5861,431,4082,408,3099,377,1948,269
39,610U200US25059,25059,Worcester & Norfolk ,64611,773,2573,374,3110,361,2424,320,2409,325,2952,381,2641,349,2131,296,2689,351,2603,348,4915,426,6842,551,10071,661,7641,576,4569,414,4342,410,2699,305
