GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
610U400US25001,25001,"First Suffolk District (2014), Massachusetts",62387,745,6429,502,4349,435,3384,408,2893,339,2276,344,2422,284,2273,342,2378,385,2374,356,4575,483,5711,531,7178,650,5209,569,3730,435,4092,429,3114,333
610U400US25002,25002,"Second Suffolk District (2014), Massachusetts",64549,750,9655,653,5777,452,3603,418,3283,421,2523,352,2526,285,2250,312,2554,384,1904,271,4015,389,4791,438,6163,493,4532,425,3280,387,3314,374,4379,398
610U400US25003,25003,"Hampden District (2014), Massachusetts",58925,824,8252,513,6428,555,5346,535,4171,491,3310,449,3428,428,3318,406,2628,362,2297,310,3623,432,4676,414,5093,472,3167,332,1278,210,1272,200,638,138
610U400US25004,25004,"Berkshire, Hampshire, Franklin & Hampden District (2014); Massachusetts",65753,678,3945,360,4228,413,4070,369,3919,345,3337,379,3531,352,2971,342,3090,340,2779,287,5317,407,6857,488,8105,484,5152,356,3075,325,2699,292,2678,265
610U400US25005,25005,"Second Hampden & Hampshire District (2014), Massachusetts",62300,769,4445,437,4376,451,3763,427,3149,396,2651,346,2633,356,2681,331,2450,352,2338,303,5013,378,6057,542,8649,527,5589,449,3355,350,3288,373,1863,215
610U400US25006,25006,"Hampshire, Franklin & Worcester District (2014); Massachusetts",58246,820,3732,388,3773,415,3145,362,2644,345,2419,290,2917,357,2564,312,2496,327,2322,286,4472,337,5757,357,8224,472,5093,421,3313,289,2775,295,2600,238
610U400US25007,25007,"First Hampden & Hampshire District (2014), Massachusetts",61711,716,2487,426,2838,405,2908,355,2293,326,2990,343,2889,380,2152,286,2474,307,1993,310,4455,378,5948,514,9209,634,6846,519,4574,466,4159,470,3496,315
610U400US25008,25008,"Worcester, Hampden, Hampshire & Middlesex District (2014); Massachusetts",62513,584,3038,413,2882,403,2947,381,2880,357,2283,326,2650,307,2482,288,2684,349,2333,293,4737,441,6028,464,9142,565,7049,574,4654,443,3941,364,2783,277
610U400US25009,25009,"Worcester & Middlesex District (2014), Massachusetts",60878,837,3828,486,3365,339,3191,428,3154,378,2378,320,2801,347,2388,346,2189,298,2163,358,3890,420,6552,444,8649,532,6248,577,3614,348,3969,409,2499,285
