,House District,Amount
0,10th Norfolk,39432.0
1,10th Worcester,79391.8
2,11th Worcester,440584.01
3,12th Bristol,54985.66
4,12th Plymouth,133614.18
5,13th Essex,146353.24
6,13th Middlesex,2469975.32
7,13th Norfolk,1268288.96
8,14th Bristol,30608.17
9,14th Essex,104667.63
10,14th Norfolk,3389749.0
11,17th Worcester,115913.54
12,18th Essex,184105.32
13,18th Worcester,127339.39
14,19th Middlesex,195513.92
15,1st Barnstable,38447.82
16,1st Bristol,46339.52
17,1st Essex,93437.15
18,1st Hampden,51300.0
19,1st Hampshire,34800.0
20,1st Middlesex,78242.38
21,1st Plymouth,45234.14
22,1st Worcester,72375.0
23,20th Middlesex,1427537.21
24,21st Middlesex,713126.88
25,22nd Middlesex,29051.0
26,2nd Barnstable,6050.0
27,2nd Bristol,4941.5
28,2nd Essex,108529.65
29,2nd Hampshire,68381.89
30,2nd Plymouth,88516.67
31,3rd Barnstable,29651.27
32,3rd Bristol,44387.67000000001
33,3rd Hampden,47639.25
34,3rd Norfolk,2380713.18
35,3rd Plymouth,415120.68
36,4th Berkshire,34050.0
37,4th Bristol,45212.79
38,4th Essex,165862.63
39,4th Hampden,69340.9
40,4th Norfolk,63358.91
41,4th Plymouth,173546.33000000002
42,5th Essex,84384.98999999999
43,5th Hampden,167706.45
44,5th Middlesex,118163.87
45,5th Plymouth,164006.0
46,5th Worcester,15700.0
47,6th Plymouth,106518.37
48,6th Worcester,37650.0
49,7th Plymouth,43932.85
50,7th Worcester,43975.0
51,8th Hampden,4508.440000000001
52,8th Plymouth,33300.0
53,8th Worcester,59397.72
54,9th Essex,107502.71
55,9th Norfolk,128421.85
56,9th Worcester,88008.93
57,"Barnstable, Dukes and Nantucket",88127.03
